ordering,baseline,floor,best_of_40,best_triple
identity,300.31919403956664,458.6996615694874,230.3124333400728,"(1, 7, 9)"
physical,389.7149558584312,379.2530697468344,175.17356732665235,"(2, 3, 7)"
rand030,168.66670723260137,253.98621300831616,180.80944123270638,"(1, 6, 9)"
rand037,175.59684296815092,306.3925617022614,170.467823216252,"(3, 6, 9)"
rand007,261.59552953727336,372.8553234430371,184.32552739534813,"(2, 5, 9)"
rand032,264.7799701135818,301.2944617541011,172.9705599205671,"(0, 2, 4)"
rand047,383.16234867839637,465.7039966157752,181.37501276985634,"(0, 1, 6)"
rand029,454.89330798801575,454.96955647085,186.73557001858575,"(1, 7, 9)"
