d,lam,mean_abs_rho
3,0.25,0.8201670986275532
2,0.25,0.8081164968991994
3,0.5,0.8026517600261016
2,0.5,0.8004424054439097
2,1.0,0.7522723969559846
3,1.0,0.7360011228346119
1,0.25,0.7326841788988072
1,0.5,0.7306752493472813
1,1.0,0.7202057297417443
