chain,config,err_sqd,regret_frac
newchain00,top1_S0,176.0218607551369,0.05517146319115548
newchain00,top3_S0_best_of,176.0218607551369,0.05517146319115548
newchain00,default_anchor,217.87914259329355,0.6449781014038531
newchain00,random,221.98519838737596,0.7028361098045287
newchain00,no_ab_floor,460.79439923363896,4.06787191098254
newchain00,top1_with_guard,176.0218607551369,0.05517146319115548
newchain01,top1_S0,176.23536983983445,0.0
newchain01,top3_S0_best_of,176.23536983983445,0.0
newchain01,default_anchor,397.4206659977941,2.041488639946717
newchain01,random,284.13487036979035,0.9958871969071568
newchain01,no_ab_floor,471.2228414981876,2.722665488066896
newchain01,top1_with_guard,176.23536983983445,0.0
newchain02,top1_S0,219.11468567113255,0.46009282814579283
newchain02,top3_S0_best_of,173.0256136171082,0.02408913292696854
newchain02,default_anchor,217.05249847760211,0.44058448925890265
newchain02,random,227.6596338574981,0.5409282370327779
newchain02,no_ab_floor,369.1988378122062,1.8798924034244746
newchain02,top1_with_guard,219.11468567113255,0.46009282814579283
newchain03,top1_S0,220.30653619229312,0.75248837528046
newchain03,top3_S0_best_of,183.6043186406462,0.0920885788697732
newchain03,default_anchor,178.73498837171908,0.004472490993590786
newchain03,random,281.47626191630513,1.8531432432810009
newchain03,no_ab_floor,387.22147746196447,3.7558652986850887
newchain03,top1_with_guard,220.30653619229312,0.75248837528046
newchain04,top1_S0,261.27515814669965,0.0
newchain04,top3_S0_best_of,261.27515814669965,0.0
newchain04,default_anchor,367.2785846626212,0.9303299791143029
newchain04,random,357.8819229183301,0.8478609834257768
newchain04,no_ab_floor,457.9651087311758,1.726232477888483
newchain04,top1_with_guard,261.27515814669965,0.0
newchain05,top1_S0,220.21602364214664,0.4849414648429077
newchain05,top3_S0_best_of,215.97242712046773,0.41743265030768545
newchain05,default_anchor,219.8508330393327,0.4791318680658754
newchain05,random,229.89878883585655,0.6389787292979301
newchain05,no_ab_floor,297.27738342927256,1.7108641036056764
newchain05,top1_with_guard,220.21602364214664,0.4849414648429077
newchain06,top1_S0,219.01756752110035,0.5414021417227661
newchain06,top3_S0_best_of,173.0256136171082,0.0
newchain06,default_anchor,313.31662457207,1.651459599955711
newchain06,random,189.3079420526469,0.19167021052499722
newchain06,no_ab_floor,373.0407067644794,2.3545118355466474
newchain06,top1_with_guard,219.01756752110035,0.5414021417227661
newchain07,top1_S0,219.11468567113255,0.5386756488429553
newchain07,top3_S0_best_of,176.62109899539757,0.016181841525080138
newchain07,default_anchor,178.5937720785915,0.040437489270156377
newchain07,random,220.27260348622147,0.5529132064392049
newchain07,no_ab_floor,361.0297494388659,2.283638778210983
newchain07,top1_with_guard,219.11468567113255,0.5386756488429553
newchain08,top1_S0,221.90427862032536,0.47259433541966744
newchain08,top3_S0_best_of,172.64984840434482,0.0
newchain08,default_anchor,229.9088441620221,0.5493978293574366
newchain08,random,274.1426892195511,0.9738198461456232
newchain08,no_ab_floor,453.5689889276204,2.6954081884635737
newchain08,top1_with_guard,221.90427862032536,0.47259433541966744
newchain09,top1_S0,227.60065118656755,0.14837709805544994
newchain09,top3_S0_best_of,208.95374513184973,0.0
newchain09,default_anchor,293.839652818348,0.6754538587455775
newchain09,random,374.24895130671575,1.3152864578571
newchain09,no_ab_floor,371.4100792866857,1.2926969949806941
newchain09,top1_with_guard,227.60065118656755,0.14837709805544994
newchain10,top1_S0,256.199690152318,0.23448056342079776
newchain10,top3_S0_best_of,223.3358144140789,0.0
newchain10,default_anchor,279.9904175995156,0.40422509448104177
newchain10,random,300.2934714320906,0.5490854128361787
newchain10,no_ab_floor,458.3784609455748,1.6770064683056645
newchain10,top1_with_guard,256.199690152318,0.23448056342079776
newchain11,top1_S0,222.43391684108985,1.1524966291503487
newchain11,top3_S0_best_of,175.54212629681308,0.08833532596757569
newchain11,default_anchor,189.3079420526469,0.40073645768102445
newchain11,random,186.46610495269388,0.33624386661940514
newchain11,no_ab_floor,248.2374641162961,1.7380817854517265
newchain11,top1_with_guard,222.43391684108985,1.1524966291503487
