chain,default_err,best_anchor_err,compression
newchain00,217.87914259329355,172.10646317464563,1.2659556101167446
newchain01,397.4206659977941,176.23536983983445,2.2550562146462223
newchain02,217.05249847760211,170.47919991611238,1.2731905040873435
newchain03,178.73498837171908,178.4864263062298,1.0013926104669877
newchain04,367.2785846626212,261.27515814669965,1.405715672579952
newchain05,219.8508330393327,189.73265746851098,1.1587400712806666
newchain06,313.31662457207,173.0256136171082,1.810810654111677
newchain07,178.5937720785915,175.30505567433164,1.01875996326295
newchain08,229.90884416202206,172.64984840434482,1.3316481090882688
newchain09,293.839652818348,208.95374513184973,1.4062425759965933
newchain10,279.9904175995156,223.3358144140789,1.2536745095455017
newchain11,189.3079420526469,171.6496697767882,1.1028739076446892
