system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,S0,S1,S2,S3,S4
H10,identity,"(0, 1, 6)",identity_0-1-6,491.1771192923107,1.000000000000403,252,252,3232,OK,287.9825389173369,0.5885763371019783,0.2445971400200526,0.3930745534684346,0.0961197265716705,1.9134891868728157,0.9403410833333332,0.8590045,0.9907705516205194,8.23207604480229,51.84613669806938,7.971890495640298,454.2843195829651,413.31172437900693
H10,identity,"(0, 1, 7)",identity_0-1-7,479.6226885678667,1.0000000000004,252,252,3232,OK,225.95309927133388,0.6256356334818867,0.2455465690749904,0.3930745534684346,0.0980185846815462,1.9271639107248408,0.9390557182539684,0.8551945,0.9357735746360047,8.606656673386103,53.53198902735182,8.369447032967402,469.707119973546,448.0331467338132
H10,identity,"(0, 1, 4)",identity_0-1-4,495.9167643847708,1.000000000000401,252,252,3232,OK,225.9529912288274,0.6356385055764427,0.2441999962788572,0.3930745534684346,0.0953254390892798,1.890115189261512,0.9416222063492063,0.862191,0.9590846549351872,7.954731276678526,50.60552144834372,7.617729304213286,443.24477808249594,385.499163692042
H10,identity,"(0, 1, 5)",identity_0-1-5,495.82634686413394,1.0000000000003966,252,252,3232,OK,225.9529912288274,0.6356385055764427,0.2441999962788572,0.3930745534684346,0.0953254390892798,1.8948412820570495,0.9412620476190476,0.8618395,0.960475741533106,7.954731276678526,50.60552144834372,7.662480263796756,443.240964493848,387.76380933707725
H10,identity,"(0, 1, 8)",identity_0-1-8,487.0496842892686,1.0000000000003988,252,252,3232,OK,237.40961119760317,0.6136709749648273,0.2591494578177232,0.3930745534684346,0.1252243621670118,2.207599870122,0.9233613095238096,0.8122425,0.9785893471792776,11.2695437397008,72.66678684729858,11.048797057285551,636.7929459314156,802.880580680829
H10,identity,"(0, 1, 2)",identity_0-1-2,496.03208162255544,1.00000000000041,252,252,3232,OK,224.59889961938285,0.6282143489644749,0.2455465690749904,0.3930745534684346,0.0980185846815462,1.9938689463900845,0.9358114444444444,0.848487,0.980041342932497,8.606656673386103,53.53198902735182,8.12003673834106,469.92644685982395,434.6817175785673
H10,identity,"(0, 1, 3)",identity_0-1-3,496.0783809389557,1.0000000000004046,252,252,3232,OK,225.9529912288274,0.6356385055764429,0.2445971400200526,0.3930745534684346,0.0961197265716705,1.9036887007188044,0.9407955238095238,0.860301,0.982733604178758,8.23207604480229,51.84613669806938,7.832619077107833,454.3723472792451,406.09103937563873
H10,identity,"(0, 1, 9)",identity_0-1-9,465.0262831240566,1.000000000000404,252,252,3232,OK,247.27858328064744,0.6375995619759883,0.2763446571138613,0.3930745534684346,0.159614760759288,2.663545636624043,0.9039573373015872,0.757625,0.9498135813329982,12.151581760149767,78.55769957612875,11.942631302608653,686.4032017184663,938.1856420188018
H10,identity,"(0, 2, 4)",identity_0-2-4,494.8106077309147,1.0000000000003977,252,252,3182,OK,233.2070232490526,0.6329303916639428,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.8465241780214332,0.9447646468253968,0.8678715,0.9931491032253098,5.291844210363828,31.470723628396957,4.9692363663186,274.3019601525495,156.3854643285922
H10,identity,"(0, 2, 5)",identity_0-2-5,495.6278187479928,1.000000000000406,252,252,3232,OK,294.25998017798884,0.5757256819880452,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.850807212911546,0.9445925555555555,0.867148,0.934038489789922,5.291844210363828,31.470723628396957,5.0243011696034285,274.2981465639016,158.11839353442107
