system,chain,n_tied_at_top,pick_before,err_before,regret_before,pick_after,err_after,regret_after,changed,worse
H10,identity,2,"(0, 1, 9)",247.27858328064744,0.21707863725319532,"(0, 1, 9)",247.27858328064744,0.21707863725319532,False,False
H10,physical,1,"(0, 1, 9)",219.9049260850092,0.6961938329702501,"(0, 1, 9)",219.9049260850092,0.6961938329702501,False,False
H10,rand007,1,"(0, 1, 9)",218.6538135657612,0.5130191422251992,"(0, 1, 9)",218.6538135657612,0.5130191422251992,False,False
N2,identity,2,"(0, 1, 9)",24.267038653349005,0.0,"(0, 1, 9)",24.267038653349005,0.0,False,False
N2,reverse,2,"(0, 1, 9)",24.267038653349005,0.0,"(0, 1, 9)",24.267038653349005,0.0,False,False
N2,r039,2,"(0, 1, 9)",31.307073886935655,0.0,"(0, 1, 9)",31.307073886935655,0.0,False,False
H10,newchain00,2,"(0, 1, 9)",176.0218607551369,0.05517146319115548,"(0, 1, 9)",176.0218607551369,0.05517146319115548,False,False
H10,newchain01,2,"(0, 1, 9)",176.23536983983445,0.0,"(0, 8, 9)",270.2141535380269,0.8674022308375103,True,True
H10,newchain02,2,"(0, 1, 9)",219.11468567113255,0.46009282814579283,"(0, 1, 9)",219.11468567113255,0.46009282814579283,False,False
H10,newchain03,2,"(0, 1, 9)",220.30653619229312,0.75248837528046,"(0, 1, 9)",220.30653619229312,0.75248837528046,False,False
H10,newchain04,2,"(0, 1, 9)",261.27515814669965,0.0,"(0, 1, 9)",261.27515814669965,0.0,False,False
H10,newchain05,2,"(0, 1, 9)",220.21602364214664,0.4849414648429077,"(0, 1, 9)",220.21602364214664,0.4849414648429077,False,False
H10,newchain06,2,"(0, 1, 9)",219.01756752110035,0.5414021417227661,"(0, 1, 9)",219.01756752110035,0.5414021417227661,False,False
H10,newchain07,2,"(0, 1, 9)",219.11468567113255,0.5386756488429553,"(0, 1, 9)",219.11468567113255,0.5386756488429553,False,False
H10,newchain08,2,"(0, 1, 9)",221.90427862032536,0.47259433541966744,"(0, 1, 9)",221.90427862032536,0.47259433541966744,False,False
H10,newchain09,2,"(0, 1, 9)",227.60065118656755,0.14837709805544994,"(0, 1, 9)",227.60065118656755,0.14837709805544994,False,False
H10,newchain10,2,"(0, 1, 9)",256.199690152318,0.23448056342079776,"(0, 8, 9)",256.3073930163791,0.23524901290156583,True,True
H10,newchain11,2,"(0, 1, 9)",222.43391684108985,1.1524966291503487,"(0, 8, 9)",175.54212629681308,0.08833532596757569,True,False
