dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,38,34,2654,14812,OK,31.870454303643214,0.9788639618129475,identity,"(4, 6, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,38,34,2696,14812,OK,27.133941327647904,0.9788648172146903,identity,"(4, 7, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,225.89050181281323,1.0000000000001301
15,15,225,40,38,2696,14812,OK,51.57122019664939,0.9394902763932315,identity,"(4, 7, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,222.66688074347485,1.0000000000001257
15,15,225,44,43,2654,14812,OK,31.870454303643214,0.9788639618129477,identity,"(4, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374,205.37821239115317,1.0000000000001283
15,15,225,26,27,2696,14814,OK,106.66698534184604,0.8020183055023276,identity,"(5, 6, 7)",0.233765488939742,0.46557389435310936,0.0019570835263746453,248.20147582488516,1.000000000000134
15,15,225,32,31,2696,14814,OK,46.02280850293994,0.9581210331383865,identity,"(5, 6, 8)",0.25849541883012783,0.46557389435310936,0.05141694330714631,229.2616047512297,1.0000000000001297
15,15,225,38,34,2696,14814,OK,31.870454303643214,0.9788639618129475,identity,"(5, 6, 9)",0.26164513648439336,0.46557389435310936,0.057716378615677424,225.35157528905359,1.0000000000001275
15,15,225,38,34,2696,14814,OK,27.133941327647904,0.9788648172146903,identity,"(5, 7, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,225.89050181281323,1.0000000000001301
15,15,225,40,38,2696,14814,OK,51.57122019664939,0.9394902763932315,identity,"(5, 7, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,222.66688074347485,1.0000000000001257
15,15,225,44,43,2696,14814,OK,31.870454303643214,0.9788639618129477,identity,"(5, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374,205.37821239115317,1.0000000000001283
15,15,225,38,34,2696,14814,OK,27.133941327647904,0.9788648172146903,identity,"(6, 7, 8)",0.2594739605933151,0.46557389435310936,0.05337402683352096,225.89050181281323,1.0000000000001301
15,15,225,40,38,2696,14814,OK,51.57122019664939,0.9394902763932315,identity,"(6, 7, 9)",0.2626236782475807,0.46557389435310936,0.059673462142052075,222.66688074347485,1.0000000000001257
15,15,225,44,43,2654,14814,OK,31.870454303643214,0.9788639618129477,identity,"(6, 8, 9)",0.28735360813796657,0.46557389435310936,0.10913332192282374,205.37821239115317,1.0000000000001283
15,15,225,43,42,2696,14814,OK,29.259903314340363,0.9788515552522662,identity,"(7, 8, 9)",0.28833214990115386,0.46557389435310936,0.11109040544919838,202.97158975022,1.0000000000001308
