seed,ordering,perm,E_ccsd_lucj,err_ccsd_lucj_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,dim,E_sub,err_sub_mHa,dps_full,gini_full,neff_full,entropy_full,compactness90_full,compactness99_full,compactness999_full,dps_alpha,gini_alpha,neff_alpha,entropy_alpha,compactness90_alpha,compactness99_alpha,compactness999_alpha,dps_beta,gini_beta,neff_beta,entropy_beta,compactness90_beta,compactness99_beta,compactness999_beta
2026,identity,0123456789,-108.64778006887195,196.52036343998702,0.2873536075155891,146,39,39,0.977585,225,-108.8184866406579,25.81379165404485,0.000149,0.9906378389261743,1.0458634106643716,0.17324260654826057,1,7,38,4.3e-05,0.9745173488372092,1.031896885080231,0.10932011935971085,1,3,10,3.9e-05,0.9718929743589744,1.0319866355405016,0.1095902655904957,1,3,10
2026,p01,2590783416,-108.63476075423846,209.53967807348306,0.21351062244259778,115,34,34,0.986134,225,-108.805821429987,38.47900232493373,0.000119,0.9895387899159664,1.028295147446364,0.11586112606063889,1,4,25,3.4e-05,0.9686919411764707,1.0176186073112772,0.06855566831790245,1,1,9,3.3e-05,0.9677306060606061,1.0173564642774289,0.06789808867917976,1,1,9
2026,p02,2847319065,-108.59094802041301,253.35241189893054,0.2306335970710036,77,32,33,0.990608,225,-108.8220226014498,22.277830862137193,8.2e-05,0.9864200487804877,1.019012947970741,0.07730524443877432,1,1,12,3.1e-05,0.9667782580645161,1.0095083381097945,0.03888227166996117,1,1,4,3.2e-05,0.9678016875,1.0096400609973544,0.039371649963386206,1,1,5
2026,p03,3186970425,-108.626674481136,217.62595117593264,0.2095571326848594,132,35,38,0.979061,225,-108.7945757994807,49.72463283124284,0.000132,0.9904073030303031,1.0426603133955181,0.15633920429654125,1,5,23,3.7e-05,0.9711103243243244,1.0246450504197444,0.08710627656248301,1,2,8,3.9e-05,0.9725942564102565,1.0246386012277926,0.0870428479303116,1,2,8
2026,p04,3976501824,-108.59866572158705,245.63471072488596,0.23294068702602144,94,31,30,0.985494,225,-108.8025690708324,41.73136147953471,9.4e-05,0.9874621702127659,1.0294241979708423,0.11308599135829629,1,3,20,3.2e-05,0.9673022499999999,1.0148695029801458,0.057319940653880984,1,1,7,2.9e-05,0.963948,1.014553264735893,0.056288446470433226,1,1,7
2026,p05,0841723956,-108.62171027067984,222.59016163209822,0.20373249110891956,109,36,38,0.988915,225,-108.8195793869779,24.721045334032965,0.000107,0.9890531214953273,1.0224289995726228,0.09261014064137496,1,2,21,3.8e-05,0.9723597368421051,1.0148105747419163,0.05830580805099175,1,1,7,3.1e-05,0.9660679999999999,1.0151171597791853,0.059456838931405534,1,1,7
2026,p06,7245831609,-108.6412077845536,203.09264775833924,0.2263090709592158,119,33,35,0.978637,225,-108.7912131503164,53.0872819955448,0.000129,0.9899117984496124,1.0435724450707808,0.16130913135478583,1,6,27,3.6e-05,0.9699420000000001,1.031535006469725,0.10600517650208614,1,2,8,3.7e-05,0.9707947027027028,1.0312168136515196,0.10489737021016635,1,2,8
2026,p07,2519086374,-108.60571714361997,238.5832886919701,0.3044550866471124,120,34,36,0.986961,225,-108.8240399301353,20.260502176640216,0.000111,0.988868954954955,1.0265358731756755,0.10930598384936407,1,3,28,3.5e-05,0.9696226857142858,1.0175671733034384,0.06794985674596214,1,1,9,3.3e-05,0.9678049090909091,1.017616165050542,0.0680002466539116,1,1,9
2026,p08,5294863710,-108.64267820133803,201.62223097391063,0.23196214520012517,123,39,37,0.978223,225,-108.8022448810258,42.0555512861398,0.000133,0.9902725563909773,1.0445207963912375,0.15963359059337895,1,5,27,3.7e-05,0.9708986486486486,1.0341240317147447,0.10909971411416301,1,2,7,4e-05,0.9730519500000001,1.034064137756885,0.10914159143372497,1,2,7
2026,p09,1420693857,-108.61482856011949,229.47187219244825,0.1454054033157669,87,30,28,0.988585,225,-108.7940289974585,50.27143485344254,9.2e-05,0.9875608695652174,1.0231020045821693,0.09291543752930966,1,2,15,3.1e-05,0.9665361935483872,1.0143796435680346,0.05418351135462243,1,1,6,3e-05,0.9654396666666665,1.0142347268538578,0.053667488956797786,1,1,6
2026,p10,2013948657,-108.61765693837924,226.64349393269845,0.2019501778857106,117,39,35,0.988009,225,-108.7992336292605,45.06680305144073,0.000124,0.9903655967741936,1.0243263279649422,0.09976186652756275,1,2,23,3.9e-05,0.9729005641025641,1.0160169960943857,0.06283924890414289,1,1,7,3.6e-05,0.9706962222222224,1.0157753877968994,0.06185523882744995,1,1,7
2026,p11,2059483716,-108.62795218358768,216.34824872425895,0.1548157013889487,117,33,30,0.986486,225,-108.8026963035715,41.60412874044539,0.000112,0.9891638392857143,1.027473569560723,0.11131853162603167,1,4,20,3e-05,0.9647850666666666,1.0166052407189556,0.06435476439764813,1,1,8,3.2e-05,0.9669430000000001,1.0169085619083975,0.06547853189319347,1,1,8
2026,p12,0874562139,-108.62906765145593,215.23278085601305,0.2092286218785164,123,39,35,0.986444,225,-108.8190340604872,25.266371824741896,0.000111,0.9890270090090092,1.0275746079960828,0.111148273483713,1,4,23,3.4e-05,0.9687631764705884,1.0167914730607905,0.065833336266792,1,1,8,3.3e-05,0.9677958787878789,1.0169143514746815,0.06627882242044911,1,1,8
2026,p13,8054372961,-108.60957988725586,234.72054505607787,0.1997790013511812,111,38,38,0.989692,225,-108.8242922495952,20.008182716736655,0.000108,0.9893287777777777,1.0208411532592125,0.08602950267723086,1,2,20,3.7e-05,0.9718184864864865,1.0132796971838207,0.05255182315338008,1,1,6,4e-05,0.97389145,1.0135548061581743,0.05358311063401304,1,1,7
2026,p14,6579301248,-108.59320164779183,251.09878452011003,0.18054520269322355,71,29,28,0.9875,225,-108.7957758840865,48.524548225444164,7.9e-05,0.9857857215189874,1.0253841899394625,0.09635377925694633,1,2,14,3.5e-05,0.9704798857142858,1.0126906504432103,0.04839792139043774,1,1,5,2.9e-05,0.9643803448275861,1.0125240943938836,0.047983516129956806,1,1,5
2026,p15,8172640953,-108.61587230661664,228.42812569530224,0.2563210382736304,99,29,31,0.983268,225,-108.7940289974585,50.27143485344254,9.5e-05,0.9874792842105262,1.03400337825595,0.12713976286150622,1,4,17,3.2e-05,0.9672845625,1.0193826536579764,0.06915053982632932,1,1,6,2.9e-05,0.9638900689655172,1.0197809365880863,0.07028236950947823,1,1,6
2026,p16,0472635918,-108.62410281737992,220.19761493201884,0.2714476067960903,145,39,38,0.975125,225,-108.8078137940775,36.486638234435986,0.000135,0.9901288592592594,1.0510280691848093,0.18112623073661238,1,5,31,3.4e-05,0.9681034705882354,1.0345652788129864,0.11293656249709767,1,2,8,3.5e-05,0.969022742857143,1.0343031950712132,0.1121946684829691,1,2,8
2026,p17,6237098145,-108.61424689979405,230.05353251788563,0.3101049577944687,126,38,39,0.986321,225,-108.7968137906301,47.48664168184291,0.000128,0.99055609375,1.027837345510466,0.11098119337161136,1,4,22,3.8e-05,0.9721417894736841,1.0169929933659154,0.06561295863483933,1,1,7,3.9e-05,0.9728170769230771,1.0171304194174222,0.06625170121847447,1,1,7
2026,p18,9752803416,-108.66353462401761,180.76580829432487,0.2608203348140015,211,47,43,0.949955,225,-108.8165542028456,27.746229466345085,0.000216,0.9918796481481482,1.1070696832851559,0.33524831283675977,1,11,47,4.3e-05,0.9725262790697673,1.0736467073998355,0.20861506366025806,1,3,12,4.9e-05,0.9758357142857144,1.07396324750729,0.20967086242391733,1,3,12
2026,p19,0836497215,-108.64906679289864,195.23363941330274,0.23706894721234323,148,37,43,0.966759,225,-108.814433219465,29.86721284693772,0.000158,0.9910801265822784,1.0689880340345,0.22667804233556654,1,5,36,3.9e-05,0.971898153846154,1.0425215467757798,0.13094720764964254,1,2,8,4e-05,0.9725947000000001,1.0421142664852763,0.13007549857440112,1,2,9
2026,p20,2756819403,-108.63300116122296,211.29927108897562,0.27242614862198655,180,42,42,0.960847,225,-108.8222128256641,22.087606647843927,0.000179,0.9913487486033519,1.0821736339956596,0.2698725711376522,1,8,41,4e-05,0.97202955,1.0492289992389194,0.15041751730068315,1,3,9,3.9e-05,0.9713052307692309,1.0490577952591937,0.1501581892550439,1,3,9
2026,p21,5836412790,-108.63000241959571,214.2980127162275,0.21666034080302335,131,40,41,0.984213,225,-108.800588383044,43.71204926793837,0.000129,0.9903593333333334,1.032123136255523,0.12590956434500086,1,4,26,3.4e-05,0.9688576470588237,1.0191712830418795,0.07115123523935647,1,1,8,3.7e-05,0.9713614594594595,1.0189720231829162,0.07063882958403123,1,1,9
2026,p22,9537612480,-108.64026167435705,204.03875795489057,0.22650533688468172,137,37,37,0.974976,225,-108.8222128256641,22.087606647843927,0.000139,0.9905610071942446,1.0513325491805101,0.18105590083853915,1,5,26,4.2e-05,0.9741119047619049,1.034937010339682,0.11471348514248107,1,2,8,3.9e-05,0.9721443076923078,1.034951603421257,0.11461732534556146,1,2,8
2026,p23,2938704165,-108.61610258796357,228.1978443483723,0.13869229863726315,72,27,24,0.989287,225,-108.7476512152956,96.64921701633489,8.3e-05,0.9862317108433736,1.0216389347528347,0.08859480488681022,1,2,16,2.8e-05,0.9629129285714284,1.011204076353887,0.04584892718353736,1,1,6,2.8e-05,0.9629445714285714,1.011195797289552,0.04565626967108539,1,1,6
2026,p24,0972835641,-108.65662746062281,187.67297168912478,0.24236881205647415,155,36,39,0.979631,225,-108.8017196652629,42.580767049045676,0.00015,0.9908599333333334,1.0414774002068024,0.1596519435945561,1,6,37,4.1e-05,0.9731930243902438,1.0299886532857765,0.10560992315051676,1,2,11,4.2e-05,0.9738286666666667,1.0299412123490066,0.10556628315309494,1,3,10
2026,p25,4135860729,-108.62846421141569,215.8362208962501,0.15694755546932465,110,29,29,0.984853,225,-108.7883902352666,55.91019704533551,0.000118,0.9897009830508474,1.030731473067888,0.12014026379824952,1,4,19,3.2e-05,0.96712025,1.0183180883779608,0.06808856794556452,1,1,7,3.1e-05,0.9660695483870969,1.0181788841267545,0.06767708359119819,1,1,7
7,identity,0123456789,-108.64778006887195,196.52036343998702,0.2873536075155891,147,40,39,0.97761,225,-108.8195152432876,24.785189024342458,0.000147,0.9905778231292517,1.0460908251798173,0.17324820786264764,1,6,37,3.8e-05,0.9711727368421053,1.031948467020609,0.10932688878429996,1,2,10,3.8e-05,0.9711846315789472,1.032113760931922,0.10972215603506458,1,3,10
7,p01,2590783416,-108.63476075423846,209.53967807348306,0.21351062244259778,117,35,35,0.986118,225,-108.805821429987,38.47900232493373,0.000121,0.9897039999999999,1.0284721551551346,0.11638781353629953,1,4,24,3.2e-05,0.9667521875,1.0174893323752368,0.06808898492807061,1,1,9,3.4e-05,0.9686515294117648,1.017809313402274,0.06926608532991485,1,1,9
7,p02,2847319065,-108.59094802041301,253.35241189893054,0.2306335970710036,83,33,34,0.990663,225,-108.8144142339785,29.886198333443303,7.7e-05,0.985570103896104,1.0191567296414499,0.07763973866385764,1,1,12,3e-05,0.9656899333333333,1.0094941150810122,0.038755876221940606,1,1,4,3.2e-05,0.9678033125000001,1.0097859594071599,0.03982401546957989,1,1,4
7,p03,3186970425,-108.626674481136,217.62595117593264,0.2095571326848594,122,32,35,0.979147,225,-108.7948523505876,49.44808172433568,0.000113,0.9888213805309733,1.0428794093443041,0.15684329098082794,1,5,22,2.9e-05,0.9631477931034482,1.024688814319291,0.08722504263454738,1,2,8,3.3e-05,0.9676273333333334,1.0247834042036077,0.0873640440386465,1,2,8
7,p04,3976501824,-108.59866572158705,245.63471072488596,0.23294068702602144,96,33,27,0.985536,225,-108.8024109259095,41.88950640244116,9.1e-05,0.9870843736263737,1.0296052000655236,0.1133646449896468,1,3,20,2.8e-05,0.9626417857142857,1.0149816201925013,0.057587804600626395,1,1,7,3.1e-05,0.9662965806451613,1.0146039968846094,0.056292210220106345,1,1,7
7,p05,0841723956,-108.62171027067984,222.59016163209822,0.20373249110891956,111,37,32,0.988973,225,-108.8246087261328,19.691706179145285,0.000107,0.9890511028037385,1.0225857417927664,0.09297302546137913,1,2,21,3.3e-05,0.9681504242424244,1.0150944908797344,0.059228378783586375,1,1,7,4.1e-05,0.9743515121951218,1.0149290847304762,0.05882537336346794,1,1,7
7,p06,7245831609,-108.6412077845536,203.09264775833924,0.2263090709592158,123,33,33,0.978719,225,-108.7912131503164,53.0872819955448,0.000114,0.9885974736842105,1.0437953029898621,0.16190975765404514,1,6,27,2.9e-05,0.9626891724137929,1.0317005714385257,0.10621888394896141,1,2,8,3.6e-05,0.9699346666666668,1.0317400236998389,0.10635192074847793,1,2,8
7,p07,2519086374,-108.60571714361997,238.5832886919701,0.3044550866471124,127,40,38,0.986948,225,-108.8240399301353,20.260502176640216,0.000115,0.9892512347826088,1.0267083188530683,0.10985131138839956,1,3,28,3.4e-05,0.9687621176470589,1.0175772430754426,0.06783171168411899,1,1,9,3.6e-05,0.9704511666666669,1.0178295097671402,0.06878889609801979,1,1,9
7,p08,5294863710,-108.64267820133803,201.62223097391063,0.23196214520012517,123,37,37,0.978283,225,-108.7967248124336,47.575619878344355,0.000127,0.9898222834645669,1.0447493113371213,0.16053191871402708,1,5,26,3.6e-05,0.9700937222222223,1.034113370036432,0.10919225688297007,1,2,7,3.8e-05,0.9716313157894736,1.0341811502625395,0.10962482261962285,1,2,7
7,p09,1420693857,-108.61482856011949,229.47187219244825,0.1454054033157669,81,25,27,0.988622,225,-108.7951652749331,49.13515737884211,9.3e-05,0.9876750537634409,1.0232613928267644,0.09362399898441426,1,2,15,3e-05,0.96542,1.014477490469421,0.05448414295411128,1,1,6,2.7e-05,0.961568,1.0144248894584336,0.054450049730901694,1,1,6
7,p10,2013948657,-108.61765693837924,226.64349393269845,0.2019501778857106,115,42,36,0.988026,225,-108.8050197974937,39.2806348182404,0.000122,0.9902306885245902,1.0244898131040545,0.10010297744142285,1,2,23,3.7e-05,0.9714886486486487,1.015869504631722,0.062140799205990076,1,1,7,3.7e-05,0.9714534594594595,1.0160536351327196,0.06285584055603027,1,1,7
7,p11,2059483716,-108.62795218358768,216.34824872425895,0.1548157013889487,109,32,31,0.986491,225,-108.8027630253079,41.53740700404285,0.000119,0.9897908571428571,1.0276463811659102,0.11191932197922552,1,4,20,3.1e-05,0.965884,1.0168409412318105,0.06523398403207951,1,1,8,3e-05,0.9647527333333332,1.0167159319527381,0.06483756510515276,1,1,8
7,p12,0874562139,-108.62906765145593,215.23278085601305,0.2092286218785164,110,35,32,0.98645,225,-108.8190340604872,25.266371824741896,0.000118,0.989650779661017,1.0277475336961774,0.11192220330587788,1,4,23,3.7e-05,0.9712281081081082,1.017219688103124,0.06739063046933247,1,1,8,3.8e-05,0.9720275263157894,1.016965573022158,0.06649019316664269,1,1,8
7,p13,8054372961,-108.60957988725586,234.72054505607787,0.1997790013511812,102,38,33,0.989799,225,-108.8242922495952,20.008182716736655,0.000103,0.9888343689320389,1.02099141246089,0.08632022561693836,1,2,20,3.6e-05,0.9710141111111112,1.013565006866672,0.05350305709883018,1,1,6,3.7e-05,0.9718214054054055,1.0134262418285818,0.05294004701428164,1,1,6
7,p14,6579301248,-108.59320164779183,251.09878452011003,0.18054520269322355,83,31,30,0.987515,225,-108.7799552876645,64.34514464743302,7.7e-05,0.9854227792207793,1.0255499915105983,0.09685564470681497,1,2,14,2.9e-05,0.9643737931034482,1.0127396224156027,0.048626428670083995,1,1,5,3.1e-05,0.9666823225806451,1.0126337907602705,0.048255873857757633,1,1,5
7,p15,8172640953,-108.61587230661664,228.42812569530224,0.2563210382736304,102,32,26,0.983344,225,-108.7940289974585,50.27143485344254,9.4e-05,0.9873343829787233,1.0341989811732184,0.12783993674008895,1,4,17,3.1e-05,0.9662047741935484,1.0198463958053976,0.070495443512111,1,1,6,2.6e-05,0.9597167692307691,1.0196272518968181,0.06993537613290095,1,1,6
7,p16,0472635918,-108.62410281737992,220.19761493201884,0.2714476067960903,139,37,35,0.975244,225,-108.8246087261328,19.691706179145285,0.000142,0.990568014084507,1.0512701973807193,0.1821900063157972,1,5,31,3.9e-05,0.9721680512820514,1.0346084464851741,0.1132927509160298,1,2,8,4.1e-05,0.9735471707317074,1.0344414982571508,0.1126168015514818,1,2,8
7,p17,6237098145,-108.61424689979405,230.05353251788563,0.3101049577944687,112,34,35,0.986332,225,-108.7968137906301,47.48664168184291,0.000112,0.989200892857143,1.028012379896399,0.11166740770285769,1,4,23,3.4e-05,0.9688020588235295,1.0173374831091653,0.06695134512822222,1,1,7,3.4e-05,0.9688564705882354,1.0169727224234293,0.06563851761641037,1,1,7
7,p18,9752803416,-108.66353462401761,180.76580829432487,0.2608203348140015,203,46,42,0.949995,225,-108.8165542028456,27.746229466345085,0.000203,0.9914022857142857,1.1074339078037885,0.3355278773633684,1,10,48,4.6e-05,0.9743266086956521,1.0740891270528825,0.20929295429546474,1,3,11,4.6e-05,0.9742744782608694,1.0739702745740891,0.2096127283281541,1,3,12
7,p19,0836497215,-108.64906679289864,195.23363941330274,0.23706894721234323,148,37,38,0.96705,225,-108.814433219465,29.86721284693772,0.000155,0.9909605806451613,1.069275443822923,0.22719923493833746,1,5,34,3.9e-05,0.971900153846154,1.042462826523177,0.13079687215479868,1,2,8,4e-05,0.9726158500000002,1.0424814783714698,0.13082372374287005,1,2,8
7,p20,2756819403,-108.63300116122296,211.29927108897562,0.27242614862198655,192,45,40,0.961024,225,-108.8171509742961,27.149458015841788,0.000175,0.9910929714285714,1.082489372623585,0.2712359505917971,1,8,42,4.3e-05,0.9739363255813953,1.0494910401559208,0.1513858218439699,1,3,9,4e-05,0.9719921500000002,1.049086019178139,0.15046181141924303,1,3,10
7,p21,5836412790,-108.63000241959571,214.2980127162275,0.21666034080302335,136,40,38,0.98422,225,-108.8003818367269,43.91859558504052,0.00012,0.98964695,1.0323119511722743,0.12654599084423163,1,4,26,3.4e-05,0.968832411764706,1.0193047446610302,0.07163560798460848,1,1,8,3.5e-05,0.9697137142857144,1.0192228337695894,0.07147522711562175,1,1,8
7,p22,9537612480,-108.64026167435705,204.03875795489057,0.22650533688468172,145,37,40,0.975074,225,-108.8222128256641,22.087606647843927,0.000139,0.9905741726618706,1.0515747167314262,0.18141905704721314,1,5,26,3.7e-05,0.9706433513513515,1.0352175025103567,0.1151612155390766,1,2,8,3.8e-05,0.9714115263157894,1.035123330265433,0.11496290879668322,1,2,8
