ordering,cap_exact,cap_cisd,cap_cisd_alpha,cap_cisd_beta,err_sub_mHa,cap_cisd_product
identity,0.9701465579701876,0.9853792477502478,0.9914604178992558,0.9914604178992559,39.51349313170738,0.982993760260967
q001,0.961266844059101,0.9916737780898651,0.9945314347283709,0.994531434728371,49.15162319490207,0.989092774662872
q002,0.9721732891534431,0.9875432840493465,0.9929566890514918,0.9929566890514919,39.2265145957964,0.9859629863321011
q003,0.9634416877514591,0.9906348731767314,0.9921750172984701,0.9939378589025959,48.410172531106355,0.9861603123502874
q004,0.8698496464735352,0.9237286939298932,0.9376812830378582,0.9376812830378582,98.38277190630151,0.8792461885595241
q005,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q006,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q007,0.9624791800339555,0.9892339667897299,0.9923916258759686,0.9923154114788117,49.87564487029772,0.9847655045792388
q008,0.9669979868681258,0.9944676400668763,0.9959283657168765,0.9959283657168766,43.349025710199385,0.9918733096394886
q009,0.8813164930269013,0.9234505841810889,0.9384383339921212,0.9384383339921212,77.17518140729851,0.880666506705908
q010,0.862590971222056,0.9084214495584608,0.930421217268284,0.9304212172682841,84.84357536060827,0.8656836415429954
q011,0.958061913617943,0.9900748833288805,0.9946307748921015,0.9947442881461983,52.67222544810579,0.9894032821383452
q012,0.9699584237131221,0.9894342089525067,0.9938826468363483,0.9947442881461983,36.666609251398086,0.9886590860280827
q013,0.9567077270838891,0.9867182960848843,0.9907780863099646,0.9907780863099647,56.26839023339869,0.9816412163120357
q014,0.9707244832684051,0.9900115308073788,0.9946680737490412,0.9946680737490413,38.88629157530943,0.9893645769356282
q015,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q016,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q017,0.8484926431643066,0.9072045737282001,0.9290574459411076,0.9219853341737222,112.33916761050013,0.856577339762597
q018,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q019,0.9635473055168412,0.9910649830551598,0.9948747366282868,0.994874736628287,54.98024712140648,0.9897757415812032
q020,0.9562996412024164,0.9867997616309853,0.9914127161523507,0.9911961075748523,57.75968677670562,0.982684425250422
q021,0.9470032793932477,0.9781999692207478,0.9790827911282816,0.9790827911282817,47.78726670680555,0.9586031118835463
q022,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q023,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q024,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q025,0.9669979868681257,0.9944676400668762,0.9959283657168765,0.9959283657168766,43.349025710199385,0.9918733096394886
q026,0.9578055131689146,0.9884479868537472,0.9935540200369383,0.9935540200369383,58.58665286220344,0.9871495907315607
q027,0.9622091140528723,0.9895121580618955,0.9921750172984701,0.9921750172984702,50.01752723259756,0.9844112649512197
q028,0.9423794387737209,0.9766200265132539,0.9866722643242852,0.9866722643242853,56.51369582909638,0.9735221571868123
q029,0.9733159348440776,0.9886750133619409,0.993667533291035,0.9936675332910351,36.47362491660999,0.9873751667166902
q030,0.9756178360855197,0.9908193506361287,0.9931486768302317,0.9931486768302318,28.60171521200527,0.9863442942896401
q031,0.9760604276139055,0.9912892251757365,0.9941941786880607,0.9941941786880608,30.123197630004483,0.9884220649372277
q032,0.9666924282566722,0.9931208911023458,0.9941544674800943,0.9941544674800944,42.18845572260932,0.98834310521063
q033,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.88200145670328,0.9908816312639201
q034,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q035,0.9603563917456781,0.9908903982515346,0.993669793418521,0.9936697934185211,49.503810482804056,0.9873796583524064
q036,0.9748082590085205,0.9896876213235345,0.9924378325906884,0.9924378325906885,30.91832850270748,0.9849328515573034
q037,0.8622225479602424,0.9086334425443717,0.9233491055008982,0.9309154529303286,84.80398355609964,0.8595599507601824
q038,0.9658753805141436,0.9904402413497593,0.9943536200399974,0.9944567153633992,47.26805205361018,0.9888416348946812
q039,0.9620718287973299,0.9888136459042981,0.9916807816364255,0.9916807816364256,50.778081926196705,0.9834307726670319
q040,0.9560630020976169,0.9879114112174013,0.9922728624300154,0.9917517458417261,53.14181707720422,0.9840883436663347
q041,0.9707049576846637,0.9901883965829773,0.9947442881461982,0.9947442881461983,36.35063205649658,0.9895161987994867
q042,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q043,0.9668315517863787,0.993769127909279,0.9954341300548318,0.995434130054832,43.883654936607286,0.9908891072780199
q044,0.8508048709366623,0.9090524832645402,0.9299853752616062,0.9299853752616063,103.47555451750168,0.8648727982004706
q045,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.882001456603803,0.9908816312639201
q046,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.88200145670328,0.9908816312639201
q047,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q048,0.9707244832684051,0.9900115308073788,0.9946680737490412,0.9946680737490413,38.88629157530943,0.9893645769356282
q049,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q050,0.9577664470994852,0.9881180740966469,0.9930351635761349,0.9920577488847022,54.952343234205614,0.9851482289406924
q051,0.9577664470994854,0.9881180740966469,0.9920577488847021,0.993035163576135,54.952343234205614,0.9851482289406924
q052,0.958284976287719,0.9902265717506952,0.9953168616410639,0.9939199306525583,55.349669343797814,0.9892652660996083
q053,0.9733299410625711,0.9884981475863421,0.993591318893878,0.9935913188938781,39.075148936703386,0.987223708981276
q054,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q055,0.9583840419724701,0.9731434116442261,0.9820635703337116,0.9820635703337117,48.919134030199984,0.964448856176597
q056,0.9475945408976688,0.9789427826422804,0.9868657471352102,0.9868657471352104,45.778551621808106,0.9739040028687368
q057,0.9624272141242182,0.992755232051795,0.9960277058806071,0.9960277058806071,48.91338038549975,0.9920711908817851
q058,0.9669979868681258,0.9944676400668763,0.9959283657168765,0.9959283657168766,43.349025710199385,0.9918733096394886
q059,0.9767940519129699,0.9918505292473944,0.9954303748951606,0.9954303748951607,30.88200145670328,0.9908816312639201
q060,0.9567225968446279,0.9888296407621896,0.9939199306525583,0.9939199306525583,56.167596635106065,0.9878768285483864
q061,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q062,0.9721732891534431,0.9875432840493465,0.9929566890514918,0.9929566890514919,39.2265145957964,0.9859629863321011
q063,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.6851747459981,0.9906556550670168
q064,0.9622108475531889,0.9894618827112311,0.992960444211163,0.9929604442111631,52.77202678379922,0.9859704437680303
q065,0.9604395448282151,0.9905923241279351,0.9930351635761349,0.993035163576135,49.27020591030384,0.986118836098681
q066,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q067,0.9537285871289412,0.9844660801300833,0.9898364754432865,0.9911198931776953,61.03531577340959,0.9810466218047366
q068,0.968884053057818,0.9886216369063165,0.9930210055264984,0.9930210055264985,36.83672862030107,0.986090717416858
q069,0.9554140920025134,0.9861703829375431,0.9911198931776952,0.9918307374172385,61.06112543510278,0.9830231745193281
q070,0.9396855025673021,0.9732385951808671,0.9843920612915414,0.9829946537995791,59.31457426160591,0.9676521334923328
q071,0.9660875345547028,0.9936842602285457,0.9950667244070266,0.9950667244070267,43.6822473369034,0.9901577860221296
q072,0.9592764804097558,0.991181435287691,0.9945545604949445,0.9959514914834502,55.260421960298345,0.9905280978866072
q073,0.9635366559779395,0.9912418488307584,0.9949509510254438,0.9949509510254438,52.23837528120612,0.9899273949464351
q074,0.9612857907028669,0.9916235027392007,0.9953168616410639,0.9953168616410639,51.68517474589862,0.9906556550670168
q075,0.9577653929245015,0.9869830212573387,0.991464173058927,0.9900667655669646,57.29896661230782,0.9816157269959771
