score,system,chain,n,rho_captured,p_captured,rho_sqd,p_sqd,regret_frac
S0,H10,identity,120,0.7310540091205217,2.5621050507376284e-21,-0.734891981285689,1.24407943845941e-21,0.21707863725319532
S0,H10,physical,40,0.4373592157199178,0.004771496453805969,-0.32297350413524967,0.0420799547957172,0.6961938329702501
S0,H10,rand007,40,0.6975388011684122,5.676811061220037e-07,-0.5904751093635129,6.05219285756674e-05,0.5130191422251992
S0,H10,newchain00,43,0.5013991742033725,0.0006145970397904479,-0.4511667551491295,0.0023933795144033816,0.05517146319115548
S0,H10,newchain01,43,0.7871920231574449,3.8377772693847387e-10,-0.7513427791310516,6.434405707791489e-09,0.0
S0,H10,newchain02,43,0.7851690378089187,4.5631941555747006e-10,-0.8186634485557448,1.989875194554022e-11,0.46009282814579283
S0,H10,newchain03,43,0.4944791378119453,0.0007504849265371336,-0.3832798220200084,0.011181235496015128,0.75248837528046
S0,H10,newchain04,43,0.6901718749331964,3.0479302377747336e-07,-0.7021858707190572,1.5421216653316415e-07,0.0
S0,H10,newchain05,43,0.7256574022300475,3.681974611247341e-08,-0.6558247353492013,1.8087142302525353e-06,0.4849414648429077
S0,H10,newchain06,43,0.7307347361201597,2.649337443297658e-08,-0.75937999056178,3.568443465610559e-09,0.5414021417227661
S0,H10,newchain07,43,0.8085377401316215,5.4691367965589295e-11,-0.8088359981367363,5.3132181911307434e-11,0.5386756488429553
S0,H10,newchain08,43,0.7519570329748141,6.155769369536383e-09,-0.7456990084406742,9.607457529830368e-09,0.47259433541966744
S0,H10,newchain09,43,0.5460238289478404,0.00015224109128311917,-0.6881498147978458,3.407421010238911e-07,0.14837709805544994
S0,H10,newchain10,43,0.7355201123749064,1.9295773348353993e-08,-0.7983956981425404,1.4206952592918518e-10,0.23448056342079776
S0,H10,newchain11,43,0.608931123739925,1.4715502589826968e-05,-0.5325950198319508,0.00023649654333764123,1.1524966291503487
S0,N2,identity,120,0.5357988619108637,2.863505157320911e-10,-0.3755995885187801,2.3654664583052033e-05,0.0
S0,N2,reverse,40,0.7085094203125946,3.1350161168793026e-07,-0.6876641589126868,9.477028799954031e-07,0.0
S0,N2,r039,40,0.3605545012259769,0.022282637907333525,-0.279890685849011,0.08025607855292255,0.0
T1,H10,identity,120,-0.3023917303975856,0.0007884744471824143,0.3063454542656942,0.0006666978591576686,0.6066766295531631
T1,H10,physical,40,-0.16410621880991913,0.3116011500135358,0.12931885617240452,0.4264407562423755,0.6877207734920704
T1,H10,rand007,40,-0.07275979721459182,0.6554719424111588,0.026241431875030644,0.8723059247381183,0.9568066435571423
T1,H10,newchain00,43,-0.3710487209114341,0.014302187388201937,0.35780510849508373,0.01848639983109297,0.663515791802691
T1,H10,newchain01,43,-0.2860659447704129,0.0629339813903396,0.26323188325531743,0.08810360801269904,0.42532910469018154
