K,L,D,mean_abs_rho
50,4,0,0.20503332519179943
50,3,0,0.19331286760462307
20,3,0,0.18503614410989963
20,4,0,0.18503614410989963
50,3,1,0.1408768952340525
50,4,1,0.13984821820346086
20,3,1,0.1380532522051997
20,4,1,0.1380532522051997
50,2,0,0.11402904123505661
20,2,0,0.11098695049622277
50,2,1,0.05142094174564483
20,2,1,0.04847841541284629
