score,rho_captured_median,rho_captured_mean,rho_captured_min,rho_captured_max,rho_captured_wrong_sign,rho_captured_significant,rho_sqd_median,rho_sqd_mean,rho_sqd_min,rho_sqd_max,rho_sqd_wrong_sign,rho_sqd_significant,regret_median,regret_mean,regret_max,regret_exceeding_1,n_chains
S0,0.7030241107405033,0.6464771129940267,0.3605545012259769,0.8085377401316215,0,18,-0.6879069868552663,-0.6159452204944805,-0.8186634485557448,-0.279890685849011,0,17,0.34728669578329524,0.3481673422511637,1.152496629150349,1,18
T1,-0.14868933136704654,-0.14359514157816908,-0.486020732635827,0.2184158026519912,14,5,0.179099637691595,0.1546128435232659,-0.253240081622036,0.4629478421235506,15,5,0.5797949179961841,0.7071014294009219,1.7295751189051658,4,18
T2,-0.23323244720741926,-0.20919021566421644,-0.6438468779991507,0.1559937619116468,15,7,0.17376179667099662,0.17452986479467036,-0.2048936923288098,0.6203177586389699,14,7,0.981327110665724,1.1749728788672573,2.929648580624772,9,18
