chain,err_019,err_089,gap
identity,247.27858328064744,257.11435362020563,-9.835770339558195
newchain00,176.0218607551369,268.5698415179836,-92.54798076284669
newchain01,176.23536983983445,270.2141535380269,-93.97878369819244
newchain02,219.11468567113255,173.0256136171082,46.08907205402434
newchain03,220.30653619229312,268.6244978225769,-48.317961630283804
newchain04,261.27515814669965,272.15058387074185,-10.875425724042202
newchain05,220.21602364214664,268.9604306813127,-48.74440703916605
newchain06,219.01756752110035,173.0256136171082,45.99195390399214
newchain07,219.11468567113255,218.46804557562473,0.64664009550782
newchain08,221.90427862032536,172.64984840434482,49.254430215980534
newchain09,227.60065118656755,208.95374513184973,18.646906054717817
newchain10,256.199690152318,256.3073930163791,-0.10770286406108198
newchain11,222.43391684108985,175.54212629681308,46.89179054427677
