chain,floor,err_range,achieved_capture_ceiling,rand_regret_denom
newchain00,460.79439923363896,215.51784614022384,0.7171932603501914,70.96780389755796
newchain01,471.2228414981876,295.06938591694177,0.7172772082981433,108.34510260303608
newchain02,369.1988378122062,205.1910120595215,0.7239801473510928,105.70798495387263
newchain03,387.22147746196447,198.54961612787216,0.7098115280714548,55.57575540017686
newchain04,457.9651087311758,197.0886262040654,0.6169287152114482,113.94175066446792
newchain05,297.27738342927256,112.65454345944372,0.6730515611895287,62.859888014547266
newchain06,373.0407067644794,202.5900044921949,0.723980147351093,84.94970809986762
newchain07,361.0297494388659,188.4870756531223,0.7114544469893049,81.32840251996078
newchain08,453.5689889276204,286.76609795137773,0.7228376648054322,104.22137237900284
newchain09,371.4100792866857,167.3462544456008,0.6777350641823358,125.67240024972918
newchain10,458.3784609455748,235.41726900715432,0.6297559431851026,140.15607630241718
newchain11,248.2374641162961,89.48465492270685,0.7215817673448858,44.064551496121226
