ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
r141,random,0973652481,2026,225,49.22033479513743,0.2833969147451567,0.9620023579000732,138,0.980873
r141,random,0973652481,7,225,49.22033479513743,0.2833969147451567,0.9620023579000732,131,0.980954
r142,random,1958302674,2026,225,53.302429073141866,0.19880046014009276,0.9616584872378486,106,0.9864
r142,random,1958302674,7,225,47.638158124740926,0.19880046014009276,0.9616584872378486,106,0.986405
r143,random,0259781436,2026,225,42.44816386403727,0.21798888865208307,0.965687559816941,142,0.982673
r143,random,0259781436,7,225,42.44816386403727,0.21798888865208307,0.965687559816941,142,0.982707
r144,random,3516409278,2026,225,52.74273879904001,0.18878069176742734,0.9248916384451578,76,0.989104
r144,random,3516409278,7,225,52.74798945593773,0.18878069176742734,0.9248916384451578,84,0.989206
r145,random,7069812435,2026,225,47.22902762544834,0.25864915944850597,0.9641578231757542,141,0.978022
r145,random,7069812435,7,225,47.22902762544834,0.25864915944850597,0.9641578231757542,145,0.978041
r146,random,7195426083,2026,225,34.13769957174395,0.2510422045920481,0.971082522472179,103,0.983785
r146,random,7195426083,7,225,36.51332102904803,0.2510422045920481,0.971082522472179,109,0.983827
r147,random,4871069523,2026,225,50.25671417534738,0.21020716338516948,0.9616535966852902,156,0.979559
r147,random,4871069523,7,225,50.25671417534738,0.21020716338516948,0.9616535966852902,147,0.979593
r148,random,6780541329,2026,225,70.78854089174058,0.18152374448778652,0.8903441823561442,83,0.989612
r148,random,6780541329,7,225,88.34855299274125,0.18152374448778652,0.8903441823561442,88,0.989723
r149,random,4571206893,2026,225,50.25671417534738,0.21881368979689209,0.9616535966852902,196,0.967532
r149,random,4571206893,7,225,48.654932869041545,0.21881368979689209,0.9616535966852902,189,0.967701
