ordering,perm,energy_A,energy_B,delta_mHa,jaccard_alpha,jaccard_beta
identity,0123456789,-108.8124299767277,-108.8124299767277,0.0,1.0,1.0
reverse,9876543210,-108.8124299767277,-108.8124299767277,0.0,1.0,1.0
rand_seed201,8924370156,-108.7977341700207,-108.7977341700208,9.947598300641403e-11,1.0,1.0
rand_seed202,7320956841,-108.7950800962362,-108.7950800962362,0.0,1.0,1.0
rand_seed203,1056384279,-108.8026665254745,-108.7998840022533,-2.7825232212137507,0.875,1.0
