system,chain,same_triple,rule_triple,best_triple,rule_err_sqd,best_err_sqd,rule_entropy_alpha,best_entropy_alpha,rule_gini_alpha,best_gini_alpha,rule_top15_mass_alpha,best_top15_mass_alpha,rule_w16_w15_alpha,best_w16_w15_alpha,rule_more_concentrated
H10,identity,False,"(0, 1, 9)","(0, 1, 2)",247.27858328064744,224.59889961938285,2.663545636624043,1.9938689463900845,0.9039573373015873,0.9358114444444444,0.757625,0.848487,0.9498135813329982,0.980041342932497,False
H10,physical,False,"(0, 1, 9)","(2, 4, 7)",219.9049260850092,172.14939218691416,2.190985689736177,0.7006674092558449,0.9348961388888889,0.9785931673306772,0.8399695,0.954186,0.9599605829573155,0.9807556911523116,False
H10,rand007,False,"(0, 1, 9)","(3, 5, 9)",218.6538135657612,175.54212629681308,2.332606600143825,1.1455123095742574,0.9301486785714286,0.9713008906882591,0.825869,0.929248,0.9715166461159063,0.9538780120481928,False
N2,identity,True,"(0, 1, 9)","(0, 1, 9)",24.267038653349005,24.267038653349005,0.16896439110077452,0.16896439110077452,0.9748666086956522,0.9748666086956522,0.999458,0.999458,0.832258064516129,0.832258064516129,False
N2,reverse,True,"(0, 1, 9)","(0, 1, 9)",24.267038653349005,24.267038653349005,0.16896439110077452,0.16896439110077452,0.9748666086956522,0.9748666086956522,0.999458,0.999458,0.832258064516129,0.832258064516129,False
N2,r039,False,"(0, 1, 9)","(0, 1, 4)",31.307073886935655,31.307073886935655,0.1610932100457181,0.11537884036950707,0.9676793714285714,0.9698182777777777,0.999748,0.999809,0.5679012345679012,0.6875,False
