system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha
H10,identity,"(0, 1, 6)",identity_0-1-6,491.1771192923107,1.000000000000403,252,252,3232,OK,287.9825389173369,0.5885763371019783,0.2445971400200526,0.3930745534684346,0.09611972657167056,1.9134891868728157,0.9403410833333333,0.8590045,0.9907705516205194
H10,identity,"(0, 1, 7)",identity_0-1-7,479.6226885678667,1.0000000000004001,252,252,3232,OK,225.95309927133388,0.6256356334818867,0.24554656907499045,0.3930745534684346,0.09801858468154626,1.9271639107248408,0.9390557182539683,0.8551945,0.9357735746360049
H10,identity,"(0, 1, 4)",identity_0-1-4,495.91676438477083,1.000000000000401,252,252,3232,OK,225.9529912288274,0.6356385055764427,0.24419999627885725,0.3930745534684346,0.09532543908927983,1.8901151892615122,0.9416222063492063,0.862191,0.9590846549351872
H10,identity,"(0, 1, 5)",identity_0-1-5,495.82634686413394,1.0000000000003966,252,252,3232,OK,225.9529912288274,0.6356385055764427,0.24419999627885725,0.3930745534684346,0.09532543908927986,1.8948412820570497,0.9412620476190476,0.8618395,0.9604757415331061
H10,identity,"(0, 1, 8)",identity_0-1-8,487.04968428926867,1.0000000000003988,252,252,3232,OK,237.40961119760317,0.6136709749648273,0.25914945781772325,0.3930745534684346,0.12522436216701183,2.207599870122,0.9233613095238096,0.8122425,0.9785893471792777
H10,identity,"(0, 1, 2)",identity_0-1-2,496.03208162255544,1.00000000000041,252,252,3232,OK,224.59889961938285,0.6282143489644749,0.24554656907499045,0.3930745534684346,0.09801858468154624,1.9938689463900845,0.9358114444444444,0.848487,0.980041342932497
H10,identity,"(0, 1, 3)",identity_0-1-3,496.0783809389557,1.0000000000004046,252,252,3232,OK,225.9529912288274,0.6356385055764429,0.2445971400200526,0.3930745534684346,0.09611972657167056,1.9036887007188044,0.9407955238095238,0.860301,0.982733604178758
H10,identity,"(0, 1, 9)",identity_0-1-9,465.0262831240566,1.000000000000404,252,252,3232,OK,247.27858328064744,0.6375995619759883,0.2763446571138613,0.3930745534684346,0.15961476075928802,2.663545636624043,0.9039573373015873,0.757625,0.9498135813329982
H10,identity,"(0, 2, 4)",identity_0-2-4,494.8106077309147,1.0000000000003975,252,252,3182,OK,233.2070232490526,0.6329303916639428,0.23059710753612445,0.3930745534684346,0.06811966160381425,1.8465241780214332,0.9447646468253968,0.8678715,0.9931491032253098
H10,identity,"(0, 2, 5)",identity_0-2-5,495.62781874799276,1.0000000000004061,252,252,3232,OK,294.25998017798884,0.5757256819880452,0.23059710753612445,0.3930745534684346,0.06811966160381425,1.850807212911546,0.9445925555555555,0.867148,0.9340384897899221
H10,identity,"(0, 2, 3)",identity_0-2-3,491.4806864689707,1.0000000000004057,252,252,3232,OK,233.2070232490526,0.6329303916639427,0.23099425127731982,0.3930745534684346,0.06891394908620496,1.84987718892325,0.944611007936508,0.866739,0.9840769230769231
H10,identity,"(0, 2, 6)",identity_0-2-6,492.0593372179187,1.0000000000004017,252,252,3182,OK,294.25998017798884,0.5757256819880452,0.23099425127731982,0.3930745534684346,0.06891394908620496,1.870800899690233,0.9436437896825397,0.8653655,0.9633725940821602
H10,identity,"(0, 2, 7)",identity_0-2-7,484.534736524088,1.0000000000003952,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.23194368033225762,0.3930745534684346,0.07081280719608063,1.9088147724553741,0.9409388611111111,0.856511,0.9806102081551183
H10,identity,"(0, 3, 4)",identity_0-3-4,502.3437463768481,1.0000000000003992,252,252,3232,OK,233.2070232490526,0.6329303916639429,0.22964767848118658,0.3930745534684346,0.06622080349393857,1.7903221239470046,0.9478941865079366,0.8757125,0.9837326885029677
H10,identity,"(0, 2, 8)",identity_0-2-8,472.76989256416704,1.0000000000004037,252,252,3182,OK,303.8089550003589,0.552231926660376,0.24554656907499045,0.3930745534684346,0.09801858468154624,2.0705253777776003,0.9327570873015874,0.836432,0.9681014347681014
H10,identity,"(0, 2, 9)",identity_0-2-9,487.2541096978864,1.0000000000004017,252,252,3182,OK,247.27858328064744,0.6375995619759883,0.2627417683711285,0.3930745534684346,0.13240898327382242,2.7066803550849774,0.9022427380952381,0.751797,0.9255641910145048
H10,identity,"(0, 3, 5)",identity_0-3-5,502.1327165142839,1.000000000000398,252,252,3232,OK,233.2070232490526,0.6329303916639428,0.22964767848118658,0.3930745534684346,0.06622080349393857,1.7917989883745682,0.9478071984126984,0.874836,0.9740557039297978
H10,identity,"(0, 4, 6)",identity_0-4-6,501.63496461475887,1.0000000000003983,251,252,3182,OK,295.8198576831057,0.5749080116609866,0.22964767848118658,0.3930745534684346,0.06622080349393855,1.8093927060657728,0.9471640956175299,0.874842,0.8802039082412915
H10,identity,"(0, 4, 7)",identity_0-4-7,491.8506385829078,1.0000000000003977,252,251,3232,OK,295.8198576831057,0.5749080116609866,0.23059710753612445,0.3930745534684346,0.06811966160381425,1.8309363299296921,0.9452073095238095,0.868927,0.8659990126243036
H10,identity,"(0, 3, 6)",identity_0-3-6,497.9087696589479,1.0000000000004021,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.23004482222238196,0.3930745534684346,0.06701509097632928,1.8150117600702453,0.9469552222222222,0.8729485,0.9573592118806058
H10,identity,"(0, 4, 5)",identity_0-4-5,507.37888900637176,1.0000000000004057,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.22925053473999124,0.3930745534684346,0.06542651601154784,1.7935964410950318,0.9479152182539683,0.875861,0.9586497255845425
H10,identity,"(0, 3, 7)",identity_0-3-7,488.4993240064803,1.0000000000004043,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.23099425127731982,0.3930745534684346,0.06891394908620498,1.834996791658445,0.9449503452380953,0.8670905,0.9597835624451594
H10,identity,"(0, 3, 8)",identity_0-3-8,482.0882508525921,1.0000000000004108,252,252,3232,OK,306.0917193849022,0.5500036044192987,0.2445971400200526,0.3930745534684346,0.09611972657167055,2.014645588391304,0.9364335793650793,0.845926,0.9534591194968554
H10,identity,"(0, 3, 9)",identity_0-3-9,493.0284419537516,1.000000000000404,252,252,3232,OK,247.27858328064744,0.6375995619759882,0.26179233931619067,0.3930745534684346,0.1305101251639467,2.6571064089275103,0.9077972063492064,0.762318,0.9092558983666061
H10,identity,"(0, 4, 8)",identity_0-4-8,486.45040599536935,1.000000000000404,252,252,3182,OK,300.31919403956664,0.5554887797095325,0.24419999627885725,0.3930745534684346,0.09532543908927983,2.0125674116597363,0.9366000198412698,0.844925,0.983419689119171
H10,identity,"(0, 4, 9)",identity_0-4-9,497.71747432842693,1.0000000000004057,252,252,3182,OK,247.27858328064744,0.6375995619759884,0.26139519557499535,0.3930745534684346,0.129715837681556,2.658516564741835,0.907071873015873,0.7617675,0.9205038547415427
H10,identity,"(0, 5, 6)",identity_0-5-6,502.03949755075337,1.0000000000004028,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.22964767848118658,0.3930745534684346,0.06622080349393857,1.8123104467770088,0.94716125,0.873859,0.9686988847583643
H10,identity,"(0, 5, 7)",identity_0-5-7,491.24879544774024,1.000000000000399,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.23059710753612445,0.3930745534684346,0.06811966160381425,1.8305027220810954,0.9452390119047619,0.868644,0.8560665292487029
H10,identity,"(0, 5, 8)",identity_0-5-8,486.4407790371281,1.0000000000004006,252,252,3232,OK,374.3630554883097,0.4943643243316059,0.24419999627885725,0.3930745534684346,0.09532543908927983,2.0126238869442523,0.9365701746031746,0.845508,0.9766777408637873
H10,identity,"(0, 5, 9)",identity_0-5-9,497.71747432850066,1.0000000000004134,252,252,3232,OK,247.27858328064744,0.6375995619759884,0.26139519557499535,0.3930745534684346,0.12971583768155603,2.6594218729678816,0.9068897857142857,0.761775,0.9140150085943068
H10,identity,"(0, 6, 7)",identity_0-6-7,487.79015163836004,1.000000000000402,252,252,3232,OK,295.8198576831057,0.5749080116609865,0.23099425127731982,0.3930745534684346,0.06891394908620498,1.8504842598042834,0.944452996031746,0.867483,0.8613477924089853
H10,identity,"(0, 6, 8)",identity_0-6-8,486.55486483324495,1.0000000000004063,252,252,3182,OK,372.931064268756,0.4962774758602947,0.2445971400200526,0.3930745534684346,0.09611972657167055,2.043662748797429,0.9349005277777778,0.8430355,0.8703874822891641
H10,identity,"(0, 6, 9)",identity_0-6-9,491.9770508179244,1.0000000000004026,252,252,3182,OK,247.27858328064744,0.6375995619759882,0.2617923393161907,0.3930745534684346,0.13051012516394672,2.6715023060101277,0.9063955436507937,0.761006,0.9161975972443922
H10,identity,"(0, 7, 8)",identity_0-7-8,483.11733698523176,1.0000000000003975,252,252,3232,OK,300.31919403956664,0.5554887797095325,0.24554656907499045,0.3930745534684346,0.09801858468154624,2.0901207768577494,0.9316167777777777,0.835959,0.9833289577316882
H10,identity,"(0, 7, 9)",identity_0-7-9,486.786296091978,1.0000000000003997,252,252,3232,OK,247.27858328064744,0.6375995619759884,0.2627417683711285,0.3930745534684346,0.13240898327382244,2.6965265473355178,0.9032334761904762,0.752811,0.9231187745877626
H10,identity,"(1, 2, 4)",identity_1-2-4,559.4266088877324,1.000000000000407,252,252,3232,OK,294.5243494375287,0.5732385911630595,0.21340190823998637,0.3930745534684346,0.03372926301153811,1.5802291616968862,0.9560906428571428,0.906391,0.9198664440734557
H10,identity,"(0, 8, 9)",identity_0-8-9,450.533798639567,1.0000000000003935,252,252,3182,OK,257.11435362020563,0.6288742346048453,0.2763446571138613,0.3930745534684346,0.15961476075928802,2.7342630259603684,0.8998328492063492,0.7441695,0.9973942429054191
H10,identity,"(1, 2, 5)",identity_1-2-5,560.0498839605326,1.0000000000004055,252,252,3232,OK,365.3931112773181,0.5176330377054383,0.21340190823998637,0.3930745534684346,0.03372926301153811,1.5859943033302095,0.9557817857142857,0.905365,0.9480422622747048
H10,identity,"(1, 2, 3)",identity_1-2-3,560.3751655731584,1.0000000000004021,252,252,3232,OK,365.3931112773181,0.5176330377054384,0.21379905198118174,0.3930745534684346,0.03452355049392884,1.6000650922280786,0.9549564087301587,0.9037015,0.9284328273028193
H10,identity,"(1, 2, 6)",identity_1-2-6,558.061885492827,1.0000000000004046,252,252,3232,OK,365.3931112773181,0.5176330377054383,0.21379905198118174,0.3930745534684346,0.03452355049392884,1.608695897805242,0.9545472976190477,0.9010945,0.9781040059716347
H10,identity,"(1, 2, 7)",identity_1-2-7,546.2033076698782,1.0000000000004097,252,252,3232,OK,365.3931112773181,0.5176330377054384,0.2147484810361196,0.3930745534684346,0.03642240860380452,1.6468385463426898,0.952572630952381,0.894533,0.9430961573818717
H10,identity,"(1, 2, 8)",identity_1-2-8,577.2854788098903,1.000000000000402,252,252,3232,OK,240.1625352889134,0.6137443107057516,0.22835136977885237,0.3930745534684346,0.06362818608927011,2.037003146564639,0.932500011904762,0.833447,0.8734638424010375
H10,identity,"(1, 2, 9)",identity_1-2-9,486.32667028443154,1.0000000000004061,252,252,3232,OK,233.34141210869143,0.6168087900914776,0.24554656907499048,0.3930745534684346,0.09801858468154631,1.955129992867968,0.9375150753968254,0.847988,0.9989535057557184
H10,identity,"(1, 3, 4)",identity_1-3-4,564.46222868278,1.0000000000004055,252,252,3232,OK,365.3773667024529,0.5188705860538558,0.21245247918504856,0.3930745534684346,0.03183040490166244,1.4905450036767312,0.9601639047619047,0.9185255,0.9871180842279108
H10,identity,"(1, 3, 5)",identity_1-3-5,564.0533523285916,1.0000000000004046,252,252,3232,OK,365.4335079906108,0.5175877685217029,0.21245247918504856,0.3930745534684346,0.03183040490166244,1.4921358747806521,0.9601482698412699,0.9185265,0.9061371841155235
H10,identity,"(1, 3, 6)",identity_1-3-6,561.6485988556237,1.0000000000003952,252,252,3232,OK,365.4504865056092,0.5174272757180145,0.2128496229262439,0.3930745534684346,0.032624692384053154,1.5179630133391768,0.9587366944444444,0.914148,0.9487672110150497
H10,identity,"(1, 3, 7)",identity_1-3-7,547.7107979882971,1.0000000000004057,252,252,3232,OK,365.4335079906108,0.5175877685217027,0.21379905198118174,0.3930745534684346,0.03452355049392884,1.537884185045141,0.9573740833333333,0.9098805,0.9589508196721311
