system,chain,n,rho_link1,p_link1,link1_holds,rho_link2,p_link2,link2_holds,rho_e2e,p_e2e,e2e_holds
H10,identity,120,-0.5131279117047944,2.0672398593090153e-09,True,-0.9373158141558016,7.410380950410343e-56,True,0.5273658511714375,6.076428315648093e-10,True
H10,physical,40,0.19521353627558535,0.22737675038350244,False,-0.9332959017559964,1.7224415489592313e-18,True,-0.1598272990914283,0.32455793317549114,False
H10,rand007,40,-0.013628485281852471,0.9334820611865671,False,-0.9574854318225298,4.088544733957443e-22,True,0.10744743054257969,0.5093031985941416,False
N2,identity,120,-0.5686111904532861,1.2463945653027432e-11,True,-0.8767218200063617,2.5942710175597837e-39,True,0.43194434303308593,8.39045502642643e-07,True
N2,reverse,40,-0.7286067530412722,9.821310716678477e-08,True,-0.883466397855755,4.4337291090144043e-14,True,0.703615849555143,4.099103330891248e-07,True
N2,r039,40,-0.36128930076747967,0.021991489780104883,True,-0.9324588167851146,2.166932602622524e-18,True,0.29685556040991656,0.06286832927554696,False
