ordering,anchor_offset,mean_err_mHa,sd_err_mHa,mean_retained_J
physical,0,211.10384265785598,0.0,0.1224000618331483
physical,1,254.65059501874165,0.0,0.1224000618331483
physical,2,251.4708142856672,0.5376008361719017,0.1224000618331483
physical,3,221.14006690429198,0.0,0.1224000618331483
physical_reverse,0,254.65059501874165,0.0,0.10505136407558027
physical_reverse,1,211.10384265785598,0.0,0.10505136407558027
physical_reverse,2,221.14006690429198,0.0,0.10505136407558027
physical_reverse,3,251.4708142856672,0.5376008361719017,0.10505136407558027
