ordering,n_total,n_floor,floor_err_mHa,rho_all,p_all,rho_above,p_above,range_above
identity,120,17,458.6996615694874,-0.7745470304960873,3.163112409220167e-25,-0.6462153423981947,1.6847074165441157e-13,233.95049643712616
physical,40,0,379.2530697468344,-0.25501905560954075,0.11225864696660193,-0.25501905560954075,0.11225864696660193,214.25141094777274
rand007,40,3,372.85532344303715,-0.6079242770250537,3.1730459006123836e-05,-0.5067621634156707,0.0013710285644102829,196.04264588259036
