ordering,triple,budget,status,err_mHa,captured,wall_s,dim
physical,"(1, 6, 8)",8,OK,321.50558309875345,0.4853192683090685,1.0953342914581299,64
physical,"(1, 4, 7)",8,OK,342.8333338056335,0.48232736998639003,1.1021668910980225,64
physical,"(2, 4, 6)",8,OK,464.87842575839977,0.38668644654538026,1.1029367446899414,64
physical,"(1, 6, 7)",8,OK,402.1997441166878,0.4230408323842088,1.1228950023651123,64
physical,"(0, 2, 7)",8,OK,342.05729985355936,0.48244908500245287,1.1288769245147705,64
physical,"(3, 6, 9)",8,OK,289.0969660028926,0.5460144781735354,1.1030778884887695,64
physical,"(1, 2, 6)",8,OK,402.3985509146222,0.4185344349139459,1.1039149761199951,64
physical,"(1, 5, 7)",8,OK,342.8333338056335,0.48232736998639003,1.1334500312805176,64
physical,"(0, 2, 9)",8,OK,288.98018483879275,0.545774122405571,1.1058030128479004,64
physical,"(5, 7, 9)",8,OK,289.0969660028926,0.5460144781735354,1.1006581783294678,64
physical,"(2, 3, 5)",8,OK,391.6721853306102,0.4415535574173932,1.0998311042785645,64
physical,"(0, 5, 7)",8,OK,398.9898890712702,0.427490647864815,1.139064073562622,64
physical,"(1, 5, 6)",8,OK,402.3985509146222,0.4185344349139459,1.1005580425262451,64
physical,"(0, 2, 6)",8,OK,335.7612477469232,0.493198050518436,1.1396129131317139,64
physical,"(5, 6, 7)",8,OK,465.40578251008304,0.38756932155163887,1.1015517711639404,64
physical,"(2, 6, 9)",8,OK,289.34652559804164,0.5462530526267657,1.1054201126098633,64
physical,"(1, 3, 5)",8,OK,282.1400937732719,0.5398384740773116,1.1046812534332275,64
physical,"(4, 6, 8)",8,OK,380.2747196467777,0.4382770964911073,1.1012277603149414,64
physical,"(0, 6, 7)",8,OK,398.9898890712702,0.427490647864815,1.1317048072814941,64
physical,"(2, 4, 7)",8,OK,394.26359618825035,0.43954162902131466,1.1074018478393555,64
physical,"(3, 4, 6)",8,OK,465.40578251008304,0.38756932155163887,1.1044518947601318,64
