,err_range,range_per_headroom,rho_captured,p_captured,rho_s0_lucj,p_s0_lucj,rho_s0_sqd,p_s0_sqd,regret_frac,floor,n_worse_than_floor,n_triples,best_triple,best_err
identity,164.7396948910682,1724.5222044161435,-0.9709220745876503,1.0458854699739654e-37,-0.967022929212401,3.8110109270324586e-36,-0.9149504230664055,1.5798662435304304e-24,0.0,369.6061584450945,0,60,"(0, 1, 11)",201.95334111713237
random,79.54626250102595,1570.5905578104225,-0.9666009058323374,5.47868519912473e-36,-0.9606303998611277,5.947573036223381e-34,-0.8518580611975536,6.245636587522344e-18,0.1662779906129196,274.9882396419707,2,60,"(2, 3, 11)",199.67282364495983
reverse,164.7396948910682,1736.7792925392318,-0.9709220745876503,1.0458854699739654e-37,-0.967022929212401,3.8110109270324586e-36,-0.9149504230664055,1.5798662435304304e-24,0.0,369.6061584450945,0,60,"(0, 1, 11)",201.95334111713237
