E_lucj,err_lucj,overlap,full_capture,triple,triple_str,err_sqd,captured_sqd
-4.470039006703265,496.03208162255544,0.39365505149635405,1.00000000000041,"(0, 1, 2)","(0, 1, 2)",224.59889961938285,0.6282143489644749
-4.469992707386865,496.0783809389557,0.3963216235407443,1.0000000000004046,"(0, 1, 3)","(0, 1, 3)",225.9529912288274,0.6356385055764429
-4.47015432394105,495.91676438477083,0.3950978117014092,1.000000000000401,"(0, 1, 4)","(0, 1, 4)",225.9529912288274,0.6356385055764427
-4.470244741461687,495.82634686413394,0.3938199226378044,1.0000000000003966,"(0, 1, 5)","(0, 1, 5)",225.9529912288274,0.6356385055764427
-4.47489396903351,491.1771192923107,0.39769019399662014,1.000000000000403,"(0, 1, 6)","(0, 1, 6)",287.9825389173369,0.5885763371019783
-4.486448399757954,479.6226885678667,0.41136017220936394,1.0000000000004001,"(0, 1, 7)","(0, 1, 7)",225.95309927133388,0.6256356334818867
-4.479021404036552,487.04968428926867,0.40380487752165006,1.0000000000003988,"(0, 1, 8)","(0, 1, 8)",237.40961119760317,0.6136709749648273
-4.501044805201764,465.0262831240566,0.42528769392469845,1.000000000000404,"(0, 1, 9)","(0, 1, 9)",247.27858328064744,0.6375995619759883
-4.47459040185685,491.4806864689707,0.3947210624826423,1.0000000000004057,"(0, 2, 3)","(0, 2, 3)",233.2070232490526,0.6329303916639427
-4.471260480594906,494.8106077309147,0.3912139929097698,1.0000000000003975,"(0, 2, 4)","(0, 2, 4)",233.2070232490526,0.6329303916639428
-4.470443269577828,495.62781874799276,0.38998827920191254,1.0000000000004061,"(0, 2, 5)","(0, 2, 5)",294.25998017798884,0.5757256819880452
-4.474011751107902,492.0593372179187,0.39262070370190405,1.0000000000004017,"(0, 2, 6)","(0, 2, 6)",294.25998017798884,0.5757256819880452
-4.481536351801733,484.534736524088,0.403256365206739,1.0000000000003952,"(0, 2, 7)","(0, 2, 7)",295.8198576831057,0.5749080116609866
-4.493301195761654,472.76989256416704,0.39374163968680015,1.0000000000004037,"(0, 2, 8)","(0, 2, 8)",303.8089550003589,0.552231926660376
-4.478816978627934,487.2541096978864,0.4082109927553293,1.0000000000004017,"(0, 2, 9)","(0, 2, 9)",247.27858328064744,0.6375995619759883
-4.463727341948973,502.3437463768481,0.3868912839237301,1.0000000000003992,"(0, 3, 4)","(0, 3, 4)",233.2070232490526,0.6329303916639429
-4.463938371811537,502.1327165142839,0.3864504909230693,1.000000000000398,"(0, 3, 5)","(0, 3, 5)",233.2070232490526,0.6329303916639428
-4.468162318666873,497.9087696589479,0.3896190493271282,1.0000000000004021,"(0, 3, 6)","(0, 3, 6)",295.8198576831057,0.5749080116609866
-4.4775717643193405,488.4993240064803,0.39901177044176167,1.0000000000004043,"(0, 3, 7)","(0, 3, 7)",295.8198576831057,0.5749080116609866
-4.483982837473229,482.0882508525921,0.38655698168588215,1.0000000000004108,"(0, 3, 8)","(0, 3, 8)",306.0917193849022,0.5500036044192987
-4.473042646372069,493.0284419537516,0.4017020875516832,1.000000000000404,"(0, 3, 9)","(0, 3, 9)",247.27858328064744,0.6375995619759882
-4.458692199319449,507.37888900637176,0.3824188983561374,1.0000000000004057,"(0, 4, 5)","(0, 4, 5)",295.8198576831057,0.5749080116609866
-4.464436123711062,501.63496461475887,0.3854862944483668,1.0000000000003983,"(0, 4, 6)","(0, 4, 6)",295.8198576831057,0.5749080116609866
-4.474220449742913,491.8506385829078,0.3953560506687437,1.0000000000003977,"(0, 4, 7)","(0, 4, 7)",295.8198576831057,0.5749080116609866
-4.479620682330451,486.45040599536935,0.3820762472638359,1.000000000000404,"(0, 4, 8)","(0, 4, 8)",300.31919403956664,0.5554887797095325
-4.468353613997394,497.71747432842693,0.3981310927432121,1.0000000000004057,"(0, 4, 9)","(0, 4, 9)",247.27858328064744,0.6375995619759884
-4.464031590775067,502.03949755075337,0.3847325120071115,1.0000000000004028,"(0, 5, 6)","(0, 5, 6)",295.8198576831057,0.5749080116609866
-4.4748222928780805,491.24879544774024,0.39539818409299854,1.000000000000399,"(0, 5, 7)","(0, 5, 7)",295.8198576831057,0.5749080116609866
-4.479630309288693,486.4407790371281,0.3821134030710529,1.0000000000004006,"(0, 5, 8)","(0, 5, 8)",374.3630554883097,0.4943643243316059
-4.46835361399732,497.71747432850066,0.39813109274321185,1.0000000000004134,"(0, 5, 9)","(0, 5, 9)",247.27858328064744,0.6375995619759884
-4.478280936687461,487.79015163836004,0.3979589013356178,1.000000000000402,"(0, 6, 7)","(0, 6, 7)",295.8198576831057,0.5749080116609865
