ordering,cap_exact,cap_self,err_sub_mHa
identity,0.970580522207768,0.9987797033026221,39.51349313170738
q001,0.9612667913594171,0.9984187694114234,49.15162319490207
q002,0.9721736153032896,0.9986134930017737,39.2265145957964
q003,0.9629417319587822,0.9982332065030158,48.410172531106355
q004,0.8713449258547482,0.9928910175237365,98.38277190630151
q005,0.9612860633583465,0.9983957090674307,51.68517474589862
q006,0.9707047571809632,0.9981896169029494,36.35063205649658
q007,0.9613370688591832,0.9976341382370592,49.87564487029772
q008,0.9660606021398088,0.9979834722936629,43.349025710199385
q009,0.8839184350084403,0.9938600436021623,77.17518140729851
q010,0.8629603419322976,0.9891783091027068,84.84357536060827
q011,0.9582512503363771,0.9983425448831437,52.67222544810579
q012,0.9699577631611841,0.9981154475311207,36.666609251398086
q013,0.9569436720371328,0.9987222080809186,56.26839023339869
q014,0.9707240356451399,0.9981445809125777,38.88629157530943
q015,0.9660750686326656,0.9979718106478801,45.82443187379681
q016,0.9660750686326656,0.9979718106478801,45.82443187379681
q017,0.8443086403309731,0.9875291580914123,112.33916761050013
q018,0.9612860633583465,0.9983957090674307,51.68517474589862
q019,0.9626107628514745,0.9979686240942609,54.98024712140648
q020,0.9564098360498395,0.9984790059714087,57.75968677670562
q021,0.9267993591966781,0.9910297829869854,47.78726670680555
q022,0.9660750686326656,0.9979718106478801,45.82443187379681
q023,0.9660750686326656,0.9979718106478801,45.82443187379681
q024,0.9707047571809632,0.9981896169029494,36.35063205649658
q025,0.9660606021398088,0.9978374166589129,43.349025710199385
q026,0.9578058401492107,0.9984375070284768,58.58665286220344
q027,0.9617086285367561,0.9981066308833614,50.01752723259756
q028,0.9349806452191568,0.9950396608614233,56.51369582909638
q029,0.9727794441568762,0.9983059120638141,36.47362491660999
q030,0.9756174599571621,0.9984488824802242,28.60171521200527
q031,0.9755238008390573,0.9982687310598903,30.123197630004483
q032,0.9655513545844334,0.9976269960166275,42.18845572260932
q033,0.976257862409794,0.9980731260482131,30.88200145670328
q034,0.9660750686326656,0.9979718106478801,45.82443187379681
q035,0.9603560903387423,0.9982393963327001,49.503810482804056
q036,0.9752421406625987,0.9989596203626562,30.91832850270748
q037,0.8585954076402383,0.9889513336792848,84.80398355609964
q038,0.964732978214268,0.9980417218560287,47.26805205361018
q039,0.9614819625570649,0.9979875706459919,50.778081926196705
q040,0.9566133189287123,0.9987544556592484,53.14181707720422
q041,0.9707047571809632,0.9981896169029494,36.35063205649658
q042,0.9612860633583465,0.9983957090674307,51.68517474589862
q043,0.9657970562481663,0.997880422571046,43.883654936607286
q044,0.8500211590800766,0.9882209066330109,103.47555451750168
q045,0.976257862409794,0.9982640819542261,30.882001456603803
q046,0.976257862409794,0.9980731260482131,30.88200145670328
q047,0.9660750686326656,0.9979718106478801,45.82443187379681
q048,0.9707240356451399,0.9981445809125777,38.88629157530943
q049,0.9612860633583465,0.9983957090674307,51.68517474589862
q050,0.9580493365829293,0.9986185335442567,54.952343234205614
q051,0.9580493365829292,0.9985455738070973,54.952343234205614
q052,0.9586189176130561,0.998619128065135,55.349669343797814
q053,0.9727935566286028,0.9982608983344903,39.075148936703386
q054,0.9612860633583465,0.9983957090674307,51.68517474589862
q055,0.9571432167330403,0.9976414354460199,48.919134030199984
q056,0.9394715011769293,0.9934927483929559,45.778551621808106
q057,0.9620420552831396,0.9980881728402426,48.91338038549975
q058,0.9660606021398088,0.9979834722936629,43.349025710199385
q059,0.976257862409794,0.9980731260482131,30.88200145670328
q060,0.9571211921064423,0.9988315721613192,56.167596635106065
q061,0.9612860633583465,0.9983957090674307,51.68517474589862
q062,0.9721736153032896,0.9986134930017737,39.2265145957964
q063,0.9612860633583465,0.9984070749076274,51.6851747459981
q064,0.9617117972970601,0.9984048685851145,52.77202678379922
q065,0.9607223974810953,0.9987836819651145,49.27020591030384
q066,0.9660750686326656,0.9979718106478801,45.82443187379681
q067,0.9542239828391775,0.9987257228279519,61.03531577340959
q068,0.9688833551396135,0.9979250493562493,36.83672862030107
q069,0.9555437341144242,0.9983320486698318,61.06112543510278
q070,0.932340167813857,0.9939654632808973,59.31457426160591
q071,0.965149901119134,0.9978040655567333,43.6822473369034
q072,0.9593434770467174,0.9981649858722791,55.260421960298345
q073,0.9625996509296023,0.9980136208910837,52.23837528120612
q074,0.9612860633583465,0.9983957090674307,51.68517474589862
q075,0.9579620880937458,0.9985406946679808,57.29896661230782
q076,0.9660750686326656,0.9979718106478801,45.82443187379681
q077,0.9583057253807585,0.9975539221909807,45.44012350510229
q078,0.9824524975610566,0.9981593815886036,23.163986107007872
q079,0.9578495166702279,0.9984222965894066,53.476525806004815
q080,0.9660750686326656,0.9979718106478801,45.82443187379681
q081,0.9625996509296023,0.9980136208910837,52.23837528120612
q082,0.9372482517624493,0.9913778718483158,36.625261441002976
q083,0.9651727485072666,0.9982287739902154,44.20044876960105
q084,0.9785340884271044,0.9984464100298623,28.83748232110861
q085,0.9578682777416824,0.9988709399125177,54.633930275102216
q086,0.9557509790588852,0.9984846001532488,59.62042239720233
q087,0.9635257910885822,0.9978468635681451,47.73218630670328
q088,0.960412597513716,0.9984732908771669,50.166975939504255
q089,0.9756345665134961,0.9985833175220984,31.042566544698506
q090,0.9558018442534424,0.9984521358223368,59.2425031511965
q091,0.9617117972970601,0.9984048685851145,52.77202678379922
q092,0.9655513545844334,0.9976269960166275,42.18845572260932
q093,0.960412597513716,0.9984732908771669,50.166975939504255
q094,0.9607223974810952,0.998592396654582,49.27020591030384
q095,0.9657935270014849,0.997746028264772,41.3107508382069
q096,0.9603834803666195,0.998532381173838,50.19545725980379
q097,0.9660750686326656,0.9979718106478801,45.82443187379681
q098,0.9599438387699741,0.9985540884604742,51.34585807989822
q099,0.9569436720371327,0.9985149927183253,56.26839023339869
q100,0.967240451399772,0.9981864602055295,44.99307245370687
q101,0.9582512503363771,0.9982526581489004,52.67222544820527
q102,0.9564694446703031,0.9985958014515501,57.73780778460491
q103,0.9781483062570793,0.9980887087973573,29.02735871640516
q104,0.9612860633583465,0.9984070749076274,51.6851747459981
q105,0.9620420552831396,0.9980881728402426,48.91338038549975
q106,0.9613370688591832,0.9976341382370592,49.87564487029772
q107,0.9707240356451399,0.9981445809125777,38.88629157530943
q108,0.9612860633583465,0.9983957090674307,51.68517474589862
q109,0.9564828875597677,0.9988564110464337,60.42767558589901
q110,0.9571432167330403,0.9976414354460199,48.919134030199984
q111,0.9411724838268475,0.9973401133278604,66.09804469900382
q112,0.9613476046045011,0.9980347162580234,52.68558412630853
q113,0.9589914411280034,0.9977869389780525,48.31329220949954
q114,0.9572803577834409,0.9987568197021471,61.30317046979883
q115,0.9660750686326656,0.9979718106478801,45.82443187379681
q116,0.9700412035297135,0.9985982572246855,38.867463342697306
q117,0.9815417965403818,0.9979798957546125,23.454182181509964
q118,0.964253666591316,0.9977073449041877,46.49230388619685
q119,0.9727794441568762,0.9983059120638141,36.47362491660999
q120,0.9480242295004655,0.9983668034879064,66.79999190960473
q121,0.9577769582258483,0.9983325793224744,53.542404517301634
q122,0.9707047571809632,0.9981896169029494,36.35063205649658
q123,0.9571211921064423,0.9988315721613192,56.167596635106065
q124,0.9721736153032896,0.9986134930017737,39.2265145957964
q125,0.9564694446703033,0.9985403755517959,57.73780778460491
q126,0.9577769582258483,0.9983325793224744,53.542404517301634
q127,0.9579620880937458,0.9985406946679807,57.29896661230782
q128,0.9782283573109287,0.9981490905490494,30.30007123150824
q129,0.9572985821806026,0.9976199384612275,48.11266219610389
q130,0.9357291485255282,0.9983324941982601,77.44560758649754
q131,0.9747238654928213,0.9984038528459022,31.314477090106152
q132,0.9585052204223788,0.9980592462093579,52.773917072798326
q133,0.9660750686326656,0.9979718106478801,45.82443187379681
q134,0.9620420552831396,0.9980881728402426,48.91338038549975
q135,0.9710844407621996,0.9980279167961901,36.43830029710671
q136,0.9567892190759385,0.9986408521218879,55.997877412409025
q137,0.9650063146513926,0.9977658794578048,41.45596984110966
q138,0.9752421406625987,0.9989596203626562,30.91832850270748
q139,0.869711547882938,0.9901162713166276,77.70906226269858
q140,0.9707240356451399,0.9981445809125777,38.88629157530943
q141,0.9789289611463925,0.9981561917909867,30.986678435297677
q142,0.9652226375661059,0.9978886218772226,42.79706927199811
q143,0.9571432167330403,0.9976414354460199,48.919134030199984
q144,0.9577044321300843,0.9975639476306937,47.283737961109296
q145,0.9584714451164327,0.9985260191857427,56.3031204470974
q146,0.9410243319891125,0.9958469315672402,63.3114212873096
q147,0.8454528897363136,0.985952026178624,99.16073416580672
q148,0.9612860633583465,0.9984070749076274,51.6851747459981
q149,0.7848874680568554,0.9840492223680589,155.489807576501
q150,0.9610326515377042,0.9981062969534102,49.38281984220794
q151,0.800836261273921,0.9905506254516322,153.99807522069864
q152,0.9613476046045011,0.9980347162580234,52.68558412630853
q153,0.9660750686326656,0.9979718106478801,45.82443187379681
q154,0.9567075115111486,0.9976192900470238,49.648593970999855
q155,0.9561906206555302,0.9985358521535533,58.41237986700776
q156,0.9700412035297135,0.9985982572246855,38.867463342697306
q157,0.8830244800577218,0.9949262075198211,80.0241614852979
q158,0.9707047571809632,0.9981896169029494,36.35063205649658
q159,0.9604901820229015,0.9982601207738063,49.69743575129826
q160,0.9594646613169969,0.9981312073745396,52.33989835720365
q161,0.8740109260204543,0.9940581911542112,94.6387616407094
q162,0.9707240356451399,0.9981445809125777,38.88629157530943
q163,0.9607413089936476,0.9989180215389024,51.66783395719676
q164,0.8736359541830697,0.9930297873702472,95.58064853150938
q165,0.8534387650051923,0.9905867474767576,97.4818211848998
q166,0.9607223974810952,0.998592396654582,49.27020591030384
q167,0.9612667913594171,0.9984187694114234,49.15162319490207
q168,0.976257862409794,0.9980731260482131,30.88200145670328
q169,0.960412597513716,0.9984732908771669,50.166975939504255
q170,0.972801790402905,0.9987696824354758,35.41680728920937
q171,0.976257862409794,0.9980731260482131,30.88200145670328
q172,0.9623361050379597,0.9979104940632347,52.49606754280478
q173,0.9707047571809632,0.9981896169029494,36.35063205649658
q174,0.9612860633583465,0.9983957090674307,51.68517474589862
q175,0.8534387650051929,0.9882841139729158,97.4818211848998
q176,0.9660750686326656,0.9979718106478801,45.82443187379681
q177,0.9681708203905752,0.9979180144645036,38.54492462019721
q178,0.9566133189287123,0.9987544556592484,53.14181707720422
q179,0.9612860633583465,0.9983957090674307,51.68517474589862
q180,0.9727149690843727,0.9981925034390952,36.000660116997096
q181,0.9646908233721025,0.9979598907977455,44.69088632720286
q182,0.9707047571809632,0.9981896169029494,36.35063205649658
q183,0.9717644433824354,0.9988100679330837,36.412638830796595
q184,0.9411724838268475,0.9972884229870782,66.09804469900382
q185,0.9651727485072666,0.9982287739902154,44.20044876960105
q186,0.9780685442799139,0.9980217125698071,28.61601392760349
q187,0.9633256264158481,0.9976314196567765,46.2951006012986
q188,0.9607223974810953,0.9987836819651145,49.27020591030384
q189,0.9651727485072666,0.9982287739902154,44.20044876960105
q190,0.9623361050379597,0.9979104940632347,52.49606754280478
q191,0.9234408865892714,0.9909808459310717,52.2205178403965
q192,0.9737826260648815,0.998882697036084,36.14462482350689
q193,0.9717644433824354,0.9988100679330837,36.412638830796595
q194,0.9660750686326656,0.9979718106478801,45.82443187379681
q195,0.9620420552831396,0.9978972140478004,48.913380385400274
q196,0.9717644433824354,0.9988100679330837,36.412638830796595
q197,0.9660750686326656,0.9979718106478801,45.82443187379681
q198,0.9620978113737211,0.9976687054676263,47.6990991805053
q199,0.9651727485072666,0.9982287739902154,44.20044876960105
