# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
10000100100010001001 4
00010100100001010100 4
00001100100010000101 4
00101001000100100010 4
00100100010010001001 4
00100010010010010001 4
00010100010000011100 4
00000100111100010000 4
00000011100100001010 4
01001000100000010011 3
01000001100100000110 3
10000100101000001010 3
10000100100010010001 3
00000101010010100100 3
00100001011010000100 3
10000011001000001010 3
10100010000000001011 3
00010001010001000101 3
10000000110010000110 3
01001000100000100110 3
00101001000000010011 3
00000011010010100100 3
00001001100010001001 3
00010001010000100101 3
11000100000000001101 3
00001100100100000011 3
01000000110110000001 3
01000010100000001110 3
00010110000001000110 3
11000000100100000011 3
01001000100000010101 3
00101001000000010101 3
10000100100100010001 3
01000010011000010100 3
00010011000001010010 3
00100100010000100110 3
01000100011000010010 3
01000101000100010100 2
01100000010010000011 2
00000011010100100100 2
00000111000001010001 2
00100100010100010001 2
01101000000000010011 2
01010000100100100010 2
00101100000000000111 2
00010101000000101010 2
00100100010000001101 2
10000110001000011000 2
01001000100100100010 2
00101001001000001100 2
01000010010010100100 2
01000000110000110010 2
00000001110100110000 2
10000100100000010011 2
01000010010100010001 2
00101001000000001011 2
01000000110000101010 2
00000100111010010000 2
01000100011000001100 2
10100100000000001011 2
00101010000000000111 2
00001010010001001001 2
01000010010010001001 2
00100100011000010010 2
00010001100100100010 2
11000010000000010101 2
00000101010010010001 2
10000101000100010001 2
10000010100010010001 2
01010000100011000100 2
00000011100010001100 2
00100001010100101000 2
00000100111000010010 2
00000011011100010000 2
01000010010100100010 2
10000011001000010100 2
11000010000000001011 2
10000101000000010011 2
00000100111010001000 2
01100000010010000101 2
00000110100001001001 2
10000010100000001011 2
11000100000000010101 2
11000100000000010011 2
01000010010000100110 2
01000100010000100110 2
00000001110010101000 2
10100100000000010011 2
00100001010010101000 2
00000101100010010100 2
01000011001000100010 1
00110001000100100010 1
10000010100101000010 1
00001010010001100100 1
00010001100101000100 1
01001100000000000111 1
00000011011000010010 1
00000101101011000000 1
01000010100010001100 1
00010010100100000011 1
10000101001000001100 1
00001101000110000001 1
00000010110010100100 1
00100010010010100100 1
00110001000000001101 1
10000011000010001001 1
10000011000101000010 1
00101001001000010010 1
01000011000010001100 1
01001000100000001011 1
00011001000000101001 1
00000011100010100001 1
00000001110011001000 1
10001001000100100001 1
00100101000000100011 1
11000010000000001101 1
10000100011000010001 1
00001001010100001010 1
01100000011010000100 1
00001110000100010001 1
10000011000000010011 1
00100011000000001110 1
01010000100000100110 1
10000010100100001001 1
01001001000000100110 1
10100010000000001101 1
10000100010100010010 1
01000000110000110100 1
01000001011010000100 1
01001100000100000011 1
00000101100010010010 1
01100000010110000001 1
00100010010010100010 1
00100011000010100001 1
00110100000000000111 1
01100000011000000110 1
11001000000000100101 1
01000000110000101100 1
10000101000010010001 1
00000101100100100001 1
00100100101000001001 1
01001001001000001100 1
01000000110100101000 1
00100001010000101100 1
00001001010010100001 1
00010001100011000100 1
10000101000100001001 1
00010000110010010010 1
01010000100000001101 1
01001000100001000110 1
10001001000010001100 1
01000100100100010010 1
10000110000010000101 1
00101001000010001001 1
01000100010100100010 1
00100100010010100100 1
00010001100010100100 1
00000010110100010001 1
00100100010100100010 1
00100011000100001010 1
00000001111110000000 1
11000000100110000001 1
00100101000000010110 1
01000100010100001001 1
00100010011000001010 1
00000011010101000010 1
10100010000000010011 1
10000100101000001100 1
00001000110010100001 1
10000001100010110000 1
01100000010000101100 1
00100001010000011001 1
00000011011000001010 1
00101100000100000011 1
11000100001000010010 1
00000100110101000010 1
00000010111000001010 1
00000101011010010000 1
00010101000100101000 1
00010000110001000011 1
00010001100101000010 1
00000100110011000100 1
00101001000001000110 1
00000010111010010000 1
00101001000100001001 1
00001001100101000010 1
00100100100010001010 1
00001010100100000011 1
00000011011010010000 1
00101000100000010101 1
00100100100010010010 1
00001010100000110100 1
10100100000000010101 1
10000110000100000011 1
11100000000000000111 1
00000101100100010010 1
00100011000000100101 1
00001001100100001001 1
00100010010000100110 1
00010001100010010001 1
00100010011000001100 1
11000001001000000110 1
00100001011100000010 1
00000011011100001000 1
01001000100101000010 1
00000011100100100001 1
10000001101010000100 1
10000101000000001101 1
00001001100010010001 1
10000100100000010101 1
01110000000000100110 1
00001011001100000010 1
11000000100000011001 1
01001100000100000101 1
00110001000000010101 1
00010011000100101000 1
00001011000100110000 1
01000000111100000010 1
00100100011000010100 1
11000100000000100110 1
01000000110100110000 1
01000000110010110000 1
01100100000000010110 1
00100010100000001110 1
01000010010000010011 1
00000110010100101000 1
00100011000010010100 1
00001001101000010010 1
10100001000000110100 1
00100101000100010010 1
00000110010010000101 1
00000100110100001001 1
00000011011000010100 1
00001011000010000011 1
00001001010100100001 1
00000101100110010000 1
10000011000000001101 1
10000011001000010010 1
00000011011000001100 1
00000100111000001010 1
10000011000000010101 1
10001001000000010110 1
10000100100100001001 1
01000010010001000110 1
00000101100100010100 1
10001000100100010010 1
00110001000000100110 1
00000010110110100000 1
00010001100100001001 1
10000010100000100110 1
00000110010110000001 1
