dim_alpha,dim_beta,n_unique_alpha,n_unique_beta,depth,two_qubit_count,energy,err_mHa,captured,status,bucket,triple,seed,retained_J,retained_J_samespin,retained_J_oppspin
15,15,252,252,3232,19090,-4.718792505045173,247.27858328064744,0.6375995619759883,OK,top,019,2026,0.2763446571138613,0.3930745534684346,0.15961476075928802
15,15,252,252,3182,19090,-4.708956734705615,257.11435362020563,0.6288742346048453,OK,top,089,2026,0.2763446571138613,0.3930745534684346,0.15961476075928802
15,15,252,252,3232,19090,-4.718792505045173,247.27858328064744,0.6375995619759884,OK,top,079,2026,0.2627417683711285,0.3930745534684346,0.13240898327382244
15,15,252,252,3182,19090,-4.718792505045173,247.27858328064744,0.6375995619759883,OK,top,029,2026,0.2627417683711285,0.3930745534684346,0.13240898327382242
15,15,252,252,3182,19090,-4.718792505045173,247.27858328064744,0.6375995619759882,OK,top,069,2026,0.2617923393161907,0.3930745534684346,0.13051012516394672
15,15,252,252,3232,19090,-4.718792505045173,247.27858328064744,0.6375995619759882,OK,top,039,2026,0.26179233931619067,0.3930745534684346,0.1305101251639467
15,15,252,252,3232,19090,-4.718792505045173,247.27858328064744,0.6375995619759884,OK,top,059,2026,0.26139519557499535,0.3930745534684346,0.12971583768155603
15,15,252,252,3182,19090,-4.718792505045173,247.27858328064744,0.6375995619759884,OK,top,049,2026,0.26139519557499535,0.3930745534684346,0.129715837681556
15,15,252,252,3232,19090,-4.727604403178627,238.46668514719394,0.6131574261325994,OK,top,189,2026,0.25914945781772325,0.3930745534684346,0.1252243621670119
15,15,252,252,3232,19090,-4.728661477128218,237.40961119760317,0.6136709749648273,OK,top,018,2026,0.25914945781772325,0.3930745534684346,0.12522436216701183
15,15,246,247,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,357,2026,0.19884959044231576,0.3930745534684346,0.004624627416196836
15,15,249,251,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,567,2026,0.19884959044231576,0.3930745534684346,0.004624627416196836
15,15,250,250,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,467,2026,0.19884959044231576,0.3930745534684346,0.004624627416196836
15,15,248,244,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,347,2026,0.19884959044231576,0.3930745534684346,0.004624627416196836
15,15,247,250,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,245,2026,0.19845244670112036,0.3930745534684346,0.003830339933806118
15,15,248,246,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,457,2026,0.19845244670112036,0.3930745534684346,0.0038303399338061165
15,15,247,248,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,356,2026,0.1979001613873779,0.3930745534684346,0.0027257693063211593
15,15,247,246,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,346,2026,0.1979001613873779,0.3930745534684346,0.0027257693063211575
15,15,245,242,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,456,2026,0.19750301764618253,0.3930745534684346,0.0019314818239304394
15,15,245,243,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,bottom,345,2026,0.19750301764618253,0.3930745534684346,0.0019314818239304394
15,15,252,252,3232,19090,-4.669525365127567,296.5457231982533,0.5775381093186457,OK,random,138,2026,0.22740194072391456,0.3930745534684346,0.061729327979394434
15,15,252,252,3232,19090,-4.729685269955014,236.38581837080696,0.6297827813983574,OK,random,459,2026,0.22925053473999124,0.3930745534684346,0.0654265160115479
15,15,252,252,3232,19090,-4.741472188706438,224.59889961938285,0.6282143489644749,OK,random,012,2026,0.24554656907499045,0.3930745534684346,0.09801858468154624
15,15,252,252,3182,19090,-4.665751894286254,300.31919403956664,0.5554887797095325,OK,random,048,2026,0.24419999627885725,0.3930745534684346,0.09532543908927983
15,15,252,252,3232,19090,-4.729685269955014,236.38581837080696,0.6297827813983575,OK,random,379,2026,0.23099425127731982,0.3930745534684346,0.06891394908620502
15,15,252,252,3182,19090,-4.735205228021475,230.86586030434563,0.6258450900157321,OK,random,689,2026,0.24459714002005264,0.3930745534684346,0.09611972657167062
15,15,252,252,3232,19090,-4.665467380210361,300.6037081154602,0.5634385197749637,OK,random,169,2026,0.24459714002005264,0.3930745534684346,0.0961197265716706
15,15,252,252,3232,19090,-4.662307088021638,303.7640003041826,0.5596740718651256,OK,random,168,2026,0.22740194072391456,0.3930745534684346,0.061729327979394434
15,15,250,252,3232,19090,-4.508118128697124,457.9529596286971,0.4704020787680804,OK,random,256,2026,0.19884959044231576,0.3930745534684346,0.0046246274161968375
15,15,249,248,3232,19090,-4.507371426756333,458.6996615694874,0.470193930372267,OK,random,235,2026,0.19884959044231576,0.3930745534684346,0.0046246274161968375
