ordering,triple,err_mHa,captured,retained_J_oppspin,status
physical,"(1, 6, 8)",183.58452992042817,0.6894747491861564,0.061729327979394434,OK
physical,"(1, 4, 7)",268.87516285398937,0.5780884770024218,0.03372926301153811,OK
physical,"(2, 4, 6)",297.572227797807,0.5516742832724483,0.004624627416196836,OK
physical,"(1, 6, 7)",270.74337446453,0.578889164121683,0.03452355049392884,OK
physical,"(0, 2, 7)",221.6289189077152,0.65710199899811,0.07081280719608063,OK
physical,"(3, 6, 9)",269.1237568078595,0.5923666542545941,0.06701509097632934,OK
physical,"(1, 2, 6)",220.4397209424638,0.6397214424179712,0.03452355049392884,OK
physical,"(1, 5, 7)",226.48491392501313,0.6203579204161187,0.03372926301153811,OK
physical,"(0, 2, 9)",268.5719206638488,0.5933187615824217,0.13240898327382242,OK
physical,"(5, 7, 9)",219.32371513488567,0.6583515136233303,0.06811966160381429,OK
physical,"(2, 3, 5)",304.7670319220908,0.5322891496125512,0.0046246274161968375,OK
physical,"(0, 5, 7)",220.94528600747142,0.6586595808195449,0.06811966160381425,OK
physical,"(1, 5, 6)",210.0243033866711,0.6511451413497085,0.03183040490166244,OK
physical,"(0, 2, 6)",218.63787417716551,0.6615930986901128,0.06891394908620496,OK
physical,"(5, 6, 7)",269.86705160719634,0.5721703343610745,0.004624627416196836,OK
physical,"(2, 6, 9)",268.3478007147997,0.59629229067241,0.068913949086205,OK
physical,"(1, 3, 5)",264.65016424447094,0.5687982412580788,0.03183040490166244,OK
physical,"(4, 6, 8)",301.16552450996005,0.5457347834575439,0.03183040490166243,OK
physical,"(0, 6, 7)",218.63787417716551,0.6615930986901126,0.06891394908620498,OK
physical,"(2, 4, 7)",172.14939218691416,0.6955385362149424,0.006523485526072513,OK
physical,"(3, 4, 6)",386.40080313468684,0.4530670348135028,0.0027257693063211575,OK
physical,"(0, 1, 9)",219.9049260850092,0.6547827697182128,0.15961476075928802,OK
physical,"(0, 3, 4)",220.94528600747142,0.658659580819545,0.06622080349393857,OK
physical,"(3, 8, 9)",225.71215968089663,0.6386663352819468,0.0961197265716706,OK
physical,"(5, 6, 8)",251.1205221539532,0.6067004880571014,0.03183040490166244,OK
physical,"(0, 5, 6)",218.63787417716551,0.6615930986901126,0.06622080349393857,OK
physical,"(2, 3, 9)",268.6432425764611,0.5924755498458512,0.068913949086205,OK
physical,"(0, 4, 8)",214.50849171642173,0.6532612127357948,0.09532543908927983,OK
physical,"(1, 2, 7)",189.39782400814752,0.6726222492452094,0.03642240860380452,OK
physical,"(4, 5, 6)",373.109132816376,0.4788693343078371,0.0019314818239304394,OK
physical,"(0, 4, 9)",266.64047918834746,0.6003501654672635,0.129715837681556,OK
physical,"(0, 2, 3)",218.63787417716551,0.6615930986901126,0.06891394908620496,OK
physical,"(2, 6, 7)",218.56940597565887,0.63653624917405,0.007317773008463233,OK
physical,"(0, 2, 4)",218.63787417716551,0.6615930986901126,0.06811966160381425,OK
physical,"(4, 6, 9)",219.74517877720334,0.6570911626581302,0.06622080349393862,OK
physical,"(0, 1, 3)",181.4337155473007,0.6994102249597494,0.09611972657167056,OK
physical,"(1, 7, 9)",229.400497251123,0.63192635520319,0.09801858468154628,OK
physical,"(2, 3, 7)",175.17356732665235,0.6890443543524386,0.007317773008463233,OK
physical,"(0, 1, 5)",181.4337155473007,0.6994102249597492,0.09532543908927986,OK
physical,"(3, 5, 9)",256.18934824031305,0.6028366049528782,0.06622080349393862,OK
physical_reverse,"(1, 6, 8)",183.58452992042817,0.6894747491861564,0.061729327979394434,OK
physical_reverse,"(1, 4, 7)",268.87516285398937,0.5780884770024218,0.03372926301153811,OK
physical_reverse,"(2, 4, 6)",297.572227797807,0.5516742832724483,0.004624627416196836,OK
physical_reverse,"(1, 6, 7)",270.74337446453,0.578889164121683,0.03452355049392884,OK
physical_reverse,"(0, 2, 7)",221.6289189077152,0.65710199899811,0.07081280719608063,OK
physical_reverse,"(3, 6, 9)",269.1237568078595,0.5923666542545941,0.06701509097632934,OK
physical_reverse,"(1, 2, 6)",220.4397209424638,0.6397214424179712,0.03452355049392884,OK
physical_reverse,"(1, 5, 7)",226.48491392501313,0.6203579204161187,0.03372926301153811,OK
physical_reverse,"(0, 2, 9)",268.5719206638488,0.5933187615824217,0.13240898327382242,OK
physical_reverse,"(5, 7, 9)",219.32371513488567,0.6583515136233303,0.06811966160381429,OK
physical_reverse,"(2, 3, 5)",304.7670319220908,0.5322891496125512,0.0046246274161968375,OK
physical_reverse,"(0, 5, 7)",220.94528600747142,0.6586595808195449,0.06811966160381425,OK
physical_reverse,"(1, 5, 6)",210.0243033866711,0.6511451413497085,0.03183040490166244,OK
physical_reverse,"(0, 2, 6)",218.63787417716551,0.6615930986901128,0.06891394908620496,OK
physical_reverse,"(5, 6, 7)",269.86705160719634,0.5721703343610745,0.004624627416196836,OK
physical_reverse,"(2, 6, 9)",268.3478007147997,0.59629229067241,0.068913949086205,OK
physical_reverse,"(1, 3, 5)",264.65016424447094,0.5687982412580788,0.03183040490166244,OK
physical_reverse,"(4, 6, 8)",301.16552450996005,0.5457347834575439,0.03183040490166243,OK
physical_reverse,"(0, 6, 7)",218.63787417716551,0.6615930986901126,0.06891394908620498,OK
physical_reverse,"(2, 4, 7)",172.14939218691416,0.6955385362149424,0.006523485526072513,OK
physical_reverse,"(3, 4, 6)",386.40080313468684,0.4530670348135028,0.0027257693063211575,OK
physical_reverse,"(0, 1, 9)",219.9049260850092,0.6547827697182128,0.15961476075928802,OK
physical_reverse,"(0, 3, 4)",220.94528600747142,0.658659580819545,0.06622080349393857,OK
physical_reverse,"(3, 8, 9)",225.71215968089663,0.6386663352819468,0.0961197265716706,OK
physical_reverse,"(5, 6, 8)",251.1205221539532,0.6067004880571014,0.03183040490166244,OK
physical_reverse,"(0, 5, 6)",218.63787417716551,0.6615930986901126,0.06622080349393857,OK
physical_reverse,"(2, 3, 9)",268.6432425764611,0.5924755498458512,0.068913949086205,OK
physical_reverse,"(0, 4, 8)",214.50849171642173,0.6532612127357948,0.09532543908927983,OK
physical_reverse,"(1, 2, 7)",189.39782400814752,0.6726222492452094,0.03642240860380452,OK
physical_reverse,"(4, 5, 6)",373.109132816376,0.4788693343078371,0.0019314818239304394,OK
physical_reverse,"(0, 4, 9)",266.64047918834746,0.6003501654672635,0.129715837681556,OK
physical_reverse,"(0, 2, 3)",218.63787417716551,0.6615930986901126,0.06891394908620496,OK
physical_reverse,"(2, 6, 7)",218.56940597565887,0.63653624917405,0.007317773008463233,OK
physical_reverse,"(0, 2, 4)",218.63787417716551,0.6615930986901126,0.06811966160381425,OK
physical_reverse,"(4, 6, 9)",219.74517877720334,0.6570911626581302,0.06622080349393862,OK
physical_reverse,"(0, 1, 3)",181.4337155473007,0.6994102249597494,0.09611972657167056,OK
physical_reverse,"(1, 7, 9)",229.400497251123,0.63192635520319,0.09801858468154628,OK
physical_reverse,"(2, 3, 7)",175.17356732665235,0.6890443543524386,0.007317773008463233,OK
physical_reverse,"(0, 1, 5)",181.4337155473007,0.6994102249597492,0.09532543908927986,OK
physical_reverse,"(3, 5, 9)",256.18934824031305,0.6028366049528782,0.06622080349393862,OK
rand007,"(1, 6, 8)",221.6377001311667,0.6293327259725365,0.061729327979394434,OK
rand007,"(1, 4, 7)",260.87977530669895,0.5737332499436106,0.03372926301153811,OK
rand007,"(2, 4, 6)",372.8896294803494,0.4511884049703825,0.004624627416196836,OK
rand007,"(1, 6, 7)",310.1122018089564,0.5128302772233498,0.03452355049392884,OK
rand007,"(0, 2, 7)",215.39947887265853,0.6695513834559433,0.07081280719608063,OK
rand007,"(3, 6, 9)",269.1237568080016,0.5923666542545103,0.06701509097632934,OK
rand007,"(1, 2, 6)",309.62763259623307,0.5163581200713618,0.03452355049392884,OK
rand007,"(1, 5, 7)",307.4320742311212,0.5185250822422232,0.03372926301153811,OK
rand007,"(0, 2, 9)",217.85019032460883,0.6609392640751481,0.13240898327382242,OK
rand007,"(5, 7, 9)",219.67120761325543,0.6562824502450649,0.06811966160381429,OK
rand007,"(2, 3, 5)",371.58477217940344,0.45800235163472564,0.0046246274161968375,OK
rand007,"(0, 5, 7)",212.1238972681727,0.6763101581038712,0.06811966160381425,OK
rand007,"(1, 5, 6)",303.04575867559345,0.5273514390385423,0.03183040490166244,OK
rand007,"(0, 2, 6)",212.1238972681727,0.6763101581038711,0.06891394908620496,OK
rand007,"(5, 6, 7)",255.9476032054704,0.5642934866836116,0.004624627416196836,OK
rand007,"(2, 6, 9)",232.94094787676656,0.6199018458143988,0.068913949086205,OK
rand007,"(1, 3, 5)",304.07945309189887,0.5237414350028798,0.03183040490166244,OK
rand007,"(4, 6, 8)",340.71379782044266,0.4974898002373317,0.03183040490166243,OK
rand007,"(0, 6, 7)",212.1238972681727,0.6763101581038711,0.06891394908620498,OK
rand007,"(2, 4, 7)",256.01746921348314,0.5638144127688542,0.006523485526072513,OK
rand007,"(3, 4, 6)",372.8896294803494,0.4511884049703825,0.0027257693063211575,OK
rand007,"(0, 1, 9)",218.6538135657612,0.6572112097363891,0.15961476075928802,OK
rand007,"(0, 3, 4)",212.1238972681727,0.6763101581038711,0.06622080349393857,OK
rand007,"(3, 8, 9)",225.4373425633629,0.6378104746488928,0.0961197265716706,OK
rand007,"(5, 6, 8)",340.52337391812057,0.4990303611132524,0.03183040490166244,OK
rand007,"(0, 5, 6)",212.1238972681727,0.6763101581038711,0.06622080349393857,OK
rand007,"(2, 3, 9)",181.36166671463272,0.7002444637381979,0.068913949086205,OK
rand007,"(0, 4, 8)",219.0999715854449,0.6581663914550515,0.09532543908927983,OK
rand007,"(1, 2, 7)",260.76595742499273,0.5720882373340894,0.03642240860380452,OK
rand007,"(4, 5, 6)",372.8896294803494,0.4511884049703825,0.0019314818239304394,OK
rand007,"(0, 4, 9)",268.2063642335324,0.5955224169443551,0.129715837681556,OK
rand007,"(0, 2, 3)",212.1238972681727,0.6763101581038711,0.06891394908620496,OK
rand007,"(2, 6, 7)",256.01746921348314,0.5638144127688542,0.007317773008463233,OK
rand007,"(0, 2, 4)",212.1238972681727,0.6763101581038711,0.06811966160381425,OK
rand007,"(4, 6, 9)",269.1237568080016,0.5923666542545104,0.06622080349393862,OK
rand007,"(0, 1, 3)",261.59552953727336,0.5995156824584572,0.09611972657167056,OK
rand007,"(1, 7, 9)",189.72591267387796,0.6759621879798738,0.09801858468154628,OK
rand007,"(2, 3, 7)",255.84588985183922,0.5655187337498514,0.007317773008463233,OK
rand007,"(0, 1, 5)",261.59552953727336,0.5995156824584572,0.09532543908927986,OK
rand007,"(3, 5, 9)",175.54212629681308,0.719213463812387,0.06622080349393862,OK
