label,arm,iteration,err_mHa,captured,dim_a,dim_b,dim,jaccard_prev_a,jaccard_prev_b,jaccard_iter0_a,jaccard_iter0_b,frac_traced_a,frac_traced_b,wall_s
anchor_default,anchor_axis,0,300.31919403956664,0.5554887797095325,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.119960069656372
anchor_default,anchor_axis,1,80.85835021505173,0.8841146530696832,66,66,4356,0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597,0.21212121212121213,0.21212121212121213,1.6336750984191895
anchor_default,anchor_axis,2,40.82824283223818,0.9557350856346221,96,96,9216,0.5428571428571428,0.5428571428571428,0.15625,0.15625,0.15625,0.15625,2.761603832244873
anchor_default,anchor_axis,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7649827003479004
anchor_default,anchor_axis,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7573628425598145
anchor_default,anchor_axis,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.760478973388672
anchor_best_012,anchor_axis,0,224.59889961938285,0.6282143489644749,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1175742149353027
anchor_best_012,anchor_axis,1,50.67909340790866,0.9290942928467476,88,88,7744,0.17045454545454544,0.17045454545454544,0.17045454545454544,0.17045454545454544,0.17045454545454544,0.17045454545454544,2.367110013961792
anchor_best_012,anchor_axis,2,29.201831180206916,0.9684209906308006,113,113,12769,0.7787610619469026,0.7787610619469026,0.13274336283185842,0.13274336283185842,0.13274336283185842,0.13274336283185842,3.8239128589630127
anchor_best_012,anchor_axis,3,40.82824283223818,0.9557350856346221,96,96,9216,0.8495575221238938,0.8495575221238938,0.15625,0.15625,0.15625,0.15625,2.7686259746551514
anchor_best_012,anchor_axis,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7637460231781006
anchor_best_012,anchor_axis,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7408981323242188
anchor_noab,anchor_axis,0,458.6996615694874,0.47019393037226687,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1131436824798584
anchor_noab,anchor_axis,1,157.38351214848655,0.7788704997532123,26,26,676,0.025,0.025,0.025,0.025,0.038461538461538464,0.038461538461538464,1.149641990661621
anchor_noab,anchor_axis,2,40.82824283223818,0.9557350856346221,96,96,9216,0.2708333333333333,0.2708333333333333,0.11,0.11,0.11458333333333333,0.11458333333333333,2.7739789485931396
anchor_noab,anchor_axis,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.11,0.11,0.11458333333333333,0.11458333333333333,2.7791810035705566
anchor_noab,anchor_axis,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.11,0.11,0.11458333333333333,0.11458333333333333,2.797855854034424
anchor_noab,anchor_axis,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.11,0.11,0.11458333333333333,0.11458333333333333,2.7636020183563232
identity,permutation,0,300.31919403956664,0.5554887797095325,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1248440742492676
identity,permutation,1,80.85835021505173,0.8841146530696832,66,66,4356,0.208955223880597,0.208955223880597,0.208955223880597,0.208955223880597,0.21212121212121213,0.21212121212121213,1.6452291011810303
identity,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,0.5428571428571428,0.5428571428571428,0.15625,0.15625,0.15625,0.15625,2.790220022201538
identity,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.767695903778076
identity,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.794705867767334
identity,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7655670642852783
physical,permutation,0,389.7149558584312,0.45168283919378793,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1178209781646729
physical,permutation,1,117.51421658896444,0.8330578529950334,42,42,1764,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.29545454545454547,0.30952380952380953,0.30952380952380953,1.2521100044250488
physical,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,0.4375,0.4375,0.15625,0.15625,0.15625,0.15625,2.7757833003997803
physical,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7418081760406494
physical,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.760215997695923
physical,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.779505729675293
physical_reverse,permutation,0,218.63787417716551,0.6615930986901127,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1236450672149658
physical_reverse,permutation,1,49.69918551956898,0.9389032605115034,84,84,7056,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,2.142596960067749
physical_reverse,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,0.875,0.875,0.15625,0.15625,0.15625,0.15625,2.761577844619751
physical_reverse,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.758549928665161
physical_reverse,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7662789821624756
physical_reverse,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7607808113098145
rand030,permutation,0,168.66670723260137,0.7054232276530301,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1139240264892578
rand030,permutation,1,40.82824283223818,0.9557350856346221,96,96,9216,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,2.7680649757385254
rand030,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7717578411102295
rand030,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7684438228607178
rand030,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.770564079284668
rand030,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.765974998474121
rand029,permutation,0,454.89330798801575,0.3925872694523119,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1122069358825684
rand029,permutation,1,139.4925355502732,0.8089984561645058,57,57,3249,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.18032786885245902,0.19298245614035087,0.19298245614035087,1.526735782623291
rand029,permutation,2,39.21332463288074,0.9593189875925944,108,108,11664,0.5277777777777778,0.5277777777777778,0.11818181818181818,0.11818181818181818,0.12037037037037036,0.12037037037037036,3.637924909591675
rand029,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,0.8888888888888888,0.8888888888888888,0.1326530612244898,0.1326530612244898,0.13541666666666666,0.13541666666666666,2.7675600051879883
rand029,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.1326530612244898,0.1326530612244898,0.13541666666666666,0.13541666666666666,2.776366949081421
rand029,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.1326530612244898,0.1326530612244898,0.13541666666666666,0.13541666666666666,2.754516124725342
newchain03,permutation,0,178.73498837171908,0.7098115280714548,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1142289638519287
newchain03,permutation,1,40.82824283223818,0.9557350856346221,96,96,9216,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,2.772435188293457
newchain03,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.748591661453247
newchain03,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7777740955352783
newchain03,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.766254186630249
newchain03,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.7617080211639404
newchain08,permutation,0,229.90884416202118,0.6110958937323256,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.107353687286377
newchain08,permutation,1,46.553758071046225,0.9441263600868448,84,84,7056,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,2.1971521377563477
newchain08,permutation,2,40.82824283223818,0.9557350856346221,96,96,9216,0.875,0.875,0.15625,0.15625,0.15625,0.15625,2.7587268352508545
newchain08,permutation,3,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.76159405708313
newchain08,permutation,4,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.8036510944366455
newchain08,permutation,5,40.82824283223818,0.9557350856346221,96,96,9216,1.0,1.0,0.15625,0.15625,0.15625,0.15625,2.762111186981201
newchain10,permutation,0,279.9904175995156,0.571274594799954,15,15,225,1.0,1.0,1.0,1.0,1.0,1.0,1.1144230365753174
newchain10,permutation,1,72.14081446697662,0.8946092974391078,66,66,4356,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.18181818181818182,0.18181818181818182,1.6864070892333984
newchain10,permutation,2,33.35676099945406,0.963797466124128,105,105,11025,0.6285714285714286,0.6285714285714286,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.326202154159546
newchain10,permutation,3,33.35676099945406,0.963797466124128,105,105,11025,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.3120179176330566
newchain10,permutation,4,33.35676099945406,0.963797466124128,105,105,11025,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.3320488929748535
newchain10,permutation,5,33.35676099945406,0.963797466124128,105,105,11025,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,3.3113789558410645
