pair,d_err_mHa,d_2q_gates,d_depth,clean
H10 identity,-75.72,-66.59999999999854,-789.5999999999995,True
H10 physical,-217.55999999999997,336.59999999999854,13.799999999999272,False
N2 identity,-7.600000000000001,-880.8000000000011,-1439.0,True
Cr2 identity,-38.84,-2823.4000000000015,-5023.6,True
