ordering,floor,default,best,n_total,n_worse_than_floor,frac
identity,458.6996615694874,300.31919403956664,224.59889961938285,120,0,0.0
physical,379.2530697468344,389.7149558584312,172.14939218691416,40,1,0.025
rand007,372.85532344303715,261.59552953727336,175.54212629681308,40,3,0.075
